L_S,vl1,vl2
360.0,0.0,0.0
0.514709,1011.13,1095.31
1.02858,1013.42,1098.62
1.54161,1010.91,1103.41
2.05381,1008.77,1104.36
2.56517,1007.87,1104.26
3.07571,1003.53,1092.5
3.58543,997.934,1080.29
4.09433,996.762,1098.14
4.60242,994.925,1129.19
5.1097,1001.42,1113.07
5.61618,995.528,1123.1
6.12186,999.573,1122.68
6.62675,1003.59,1117.58
7.13085,1003.44,1117.3
7.63416,1004.96,1124.57
8.1367,1004.24,1108.25
8.63847,1008.42,1106.87
9.13947,1004.1,1142.12
9.63971,1001.1,1139.81
10.1392,1003.06,1125.42
10.6379,1012.41,1122.41
11.1359,1010.59,1128.56
11.6331,1009.79,1125.65
12.1296,1009.01,1134.62
12.6254,1009.53,1147.87
13.1204,1003.52,1141.9
13.6148,1007.92,1133.62
14.1084,1012.66,1129.87
14.6013,1008.81,1121.75
15.0934,1009.61,1112.88
15.5849,1011.61,1116.72
16.0757,1008.04,1142.7
16.5658,1007.77,1128.43
17.0552,1010.51,1121.49
17.544,1012.77,1122.0
18.032,1007.93,1122.78
18.5194,1009.03,1121.41
19.0062,1009.9,1116.91
19.4923,1007.56,1115.96
19.9777,1010.51,1109.87
20.4625,1006.89,1119.64
20.9466,1009.86,1132.33
21.4301,1007.28,1132.22
21.913,1005.41,1109.68
22.3952,1010.61,1104.2
22.8769,1006.03,1118.53
23.3579,1005.54,1126.22
23.8383,1003.57,1122.08
24.3181,1003.09,1110.79
24.7973,1007.43,1110.84
25.276,1003.6,1103.43
25.754,1002.55,1095.95
26.2315,1003.79,1110.07
26.7083,999.986,1112.45
27.1847,1000.41,1109.77
27.6604,1000.81,1119.84
28.1356,1001.24,1127.23
28.6103,999.446,1128.52
29.0843,999.283,1126.93
29.5579,999.402,1128.54
30.0309,997.489,1126.8
30.5034,997.289,1128.02
30.9754,995.904,1126.95
31.4468,994.345,1116.07
31.9178,993.673,1110.45
32.3882,992.512,1110.29
32.8582,992.515,1105.18
33.3276,990.85,1105.21
33.7965,990.86,1114.02
34.265,993.272,1115.37
34.733,992.076,1112.65
35.2005,989.983,1115.58
35.6676,989.481,1117.74
36.1341,987.409,1115.29
36.6003,984.521,1105.38
37.066,984.971,1100.66
37.5312,985.746,1091.24
37.996,985.89,1086.63
38.4604,985.063,1095.2
38.9243,984.39,1104.4
39.3878,983.297,1104.77
39.8509,981.498,1102.76
40.3136,979.07,1097.74
40.7759,980.667,1093.98
41.2378,979.055,1091.29
41.6993,977.393,1086.53
42.1604,979.165,1088.52
42.6211,978.703,1087.84
43.0815,978.492,1089.8
43.5415,976.236,1087.84
44.0011,974.626,1083.04
44.4604,972.701,1081.84
44.9193,971.786,1078.66
45.3778,972.87,1076.21
45.8361,969.017,1077.74
46.2939,968.974,1075.5
46.7515,967.538,1074.62
47.2087,967.256,1075.58
47.6656,965.16,1073.56
48.1222,964.771,1069.37
48.5785,963.067,1064.77
49.0345,962.198,1065.26
49.4902,960.289,1068.7
49.9456,959.348,1070.49
50.4007,959.408,1066.69
50.8556,957.721,1062.73
51.3102,955.698,1059.44
51.7645,952.511,1060.7
52.2185,953.0,1061.74
52.6723,952.695,1061.33
53.1258,953.311,1058.71
53.5791,949.893,1055.45
54.0322,947.964,1056.62
54.485,945.618,1058.3
54.9376,946.171,1057.36
55.3899,946.035,1054.4
55.8421,945.539,1052.39
56.294,942.651,1049.49
56.7458,942.277,1053.59
57.1973,940.329,1054.2
57.6486,938.152,1054.89
58.0998,938.811,1051.42
58.5508,936.786,1049.24
59.0016,936.808,1047.92
59.4522,936.784,1048.37
59.9026,936.837,1046.53
60.3529,933.755,1038.86
60.8031,931.451,1033.93
61.2531,929.145,1040.03
61.7029,929.895,1040.32
62.1527,929.679,1035.68
62.6023,928.368,1032.44
63.0517,926.421,1028.57
63.5011,925.896,1029.88
63.9503,924.648,1035.36
64.3994,923.941,1036.15
64.8484,923.568,1034.79
65.2973,922.032,1032.44
65.7462,920.068,1028.59
66.1949,919.473,1022.32
66.6436,917.889,1020.39
67.0922,916.723,1023.51
67.5407,917.486,1022.29
67.9891,915.846,1016.23
68.4375,913.335,1012.95
68.8859,911.612,1010.2
69.3342,911.105,1010.8
69.7824,910.876,1014.66
70.2307,909.326,1015.73
70.6789,908.646,1016.65
71.127,907.329,1011.91
71.5752,905.982,1004.91
72.0233,904.815,999.734
72.4715,903.185,997.0
72.9196,902.544,993.325
73.3677,900.695,989.256
73.8159,899.649,992.289
74.264,898.281,994.367
74.7122,897.981,994.856
75.1604,896.501,996.793
75.6087,895.403,994.645
76.0569,893.938,993.393
76.5053,893.032,990.238
76.9537,892.086,988.79
77.4021,889.838,989.352
77.8506,887.91,987.057
78.2991,887.175,983.824
78.7478,885.647,980.331
79.1965,884.755,979.351
79.6453,883.165,976.429
80.0941,881.436,975.523
80.5431,879.963,974.974
80.9922,879.453,971.947
81.4414,877.468,971.542
81.8907,875.326,969.66
82.3401,874.957,966.218
82.7896,874.679,964.531
83.2393,872.064,961.132
83.6891,869.822,960.058
84.139,869.004,960.416
84.5891,868.16,962.002
85.0394,866.8,962.185
85.4898,865.169,960.197
85.9403,864.015,958.505
86.391,862.966,957.409
86.8419,862.106,953.972
87.293,861.096,951.707
87.7443,859.401,953.119
88.1957,857.903,951.715
88.6474,857.464,949.137
89.0992,855.718,945.592
89.5513,853.72,944.7
90.0036,851.725,944.072
90.4561,850.994,940.803
90.9088,849.531,941.831
91.3618,848.508,938.681
91.8149,846.58,937.388
92.2684,845.348,935.03
92.7221,843.553,932.915
93.176,842.167,934.086
93.6302,840.292,932.3
94.0846,839.297,928.711
94.5394,838.288,929.26
94.9944,837.358,929.869
95.4497,835.34,927.711
95.9053,833.974,925.212
96.3611,833.501,924.889
96.8173,832.656,922.293
97.2738,830.691,917.905
97.7305,828.743,919.924
98.1876,827.609,919.592
98.6451,825.431,918.253
99.1028,824.272,917.608
99.5609,822.531,917.014
100.019,821.026,915.248
100.478,819.715,910.455
100.937,819.047,904.462
101.397,817.423,900.602
101.857,816.345,900.193
102.317,815.022,901.079
102.777,813.835,900.927
103.238,812.329,901.8
103.7,810.961,902.305
104.161,809.837,900.428
104.623,808.828,899.923
105.086,807.766,896.349
105.549,806.085,895.549
106.012,804.427,895.0
106.476,803.662,893.478
106.94,801.929,892.214
107.405,799.626,890.772
107.87,798.325,889.619
108.335,796.655,888.255
108.801,795.148,886.616
109.268,794.334,882.64
109.735,793.619,882.012
110.202,792.669,881.745
110.67,791.817,880.67
111.138,790.625,880.695
111.607,789.7,881.218
112.076,788.517,877.759
112.546,786.893,877.617
113.016,785.87,877.07
113.487,784.096,877.048
113.958,783.312,877.02
114.43,782.085,873.397
114.902,781.202,869.855
115.375,779.916,867.601
115.848,778.813,866.318
116.322,777.554,866.92
116.796,775.875,869.685
117.271,774.433,867.744
117.747,773.497,867.648
118.223,771.883,866.181
118.7,770.556,861.39
119.177,769.349,853.687
119.655,767.866,852.929
120.133,766.429,853.446
120.612,766.026,854.21
121.092,764.743,853.932
121.572,763.636,856.461
122.053,762.194,858.189
122.534,761.563,857.329
123.016,759.304,856.964
123.499,760.407,855.029
123.982,759.441,850.352
124.466,758.082,847.208
124.95,757.41,850.256
125.435,756.501,850.483
125.921,755.181,849.841
126.408,754.365,848.941
126.895,754.197,848.859
127.383,752.428,850.637
127.871,752.066,847.226
128.36,750.861,840.171
128.85,749.981,832.117
129.34,749.274,834.16
129.832,747.841,834.974
130.324,747.895,840.982
130.816,746.648,844.427
131.309,747.13,841.058
131.803,747.453,839.363
132.298,745.13,840.615
132.794,743.427,840.826
133.29,742.108,841.48
133.787,740.975,840.543
134.285,740.545,837.297
134.783,739.457,839.568
135.282,740.897,836.078
135.782,741.091,822.918
136.283,740.143,819.604
136.784,739.729,826.556
137.286,738.038,832.531
137.789,736.821,831.244
138.293,736.064,828.028
138.798,735.737,819.886
139.303,734.411,817.811
139.809,731.41,821.238
140.316,728.415,821.598
140.824,729.163,825.93
141.333,732.612,829.116
141.842,735.81,826.626
142.352,735.94,821.711
142.863,735.526,821.495
143.375,735.107,822.582
143.888,733.742,820.904
144.401,733.645,819.911
144.916,734.641,817.315
145.431,733.48,819.54
145.947,732.063,825.307
146.464,730.396,826.344
146.982,731.568,825.636
147.5,731.655,823.475
148.02,730.776,822.744
148.54,729.218,819.793
149.061,729.907,820.807
149.584,730.429,814.637
150.107,730.581,813.926
150.631,729.089,813.701
151.155,727.253,816.157
151.681,725.206,815.027
152.208,725.683,816.402
152.735,725.489,813.242
153.264,725.079,811.738
153.793,724.088,806.877
154.323,724.954,802.473
154.855,724.592,796.16
155.387,724.37,794.578
155.92,721.684,791.387
156.454,720.873,791.74
156.989,720.127,790.584
157.524,723.833,788.691
158.061,723.876,791.462
158.599,725.002,804.738
159.138,724.154,800.88
159.677,724.812,798.283
160.218,726.253,803.043
160.76,727.559,798.965
161.302,725.761,789.748
161.846,725.818,788.884
162.39,727.506,790.643
162.935,727.819,790.478
163.482,729.842,793.967
164.029,730.228,807.604
164.577,729.709,816.107
165.127,730.372,813.916
165.677,731.31,807.262
166.228,732.273,811.686
166.781,734.075,809.839
167.334,733.691,812.917
167.888,735.456,814.942
168.443,736.344,820.013
169.0,736.023,835.923
169.557,736.322,830.28
170.115,736.374,815.899
170.674,739.543,815.513
171.234,740.32,820.61
171.796,739.331,827.484
172.358,739.506,831.397
172.921,738.786,828.23
173.485,739.546,829.873
174.05,743.639,825.357
174.617,744.474,818.756
175.184,745.819,836.936
175.752,747.243,832.042
176.321,747.65,840.429
176.892,749.184,839.425
177.463,749.309,836.751
178.035,749.821,841.603
178.608,753.809,842.363
179.183,755.271,851.444
179.758,754.807,848.086
180.334,756.441,846.532
180.911,755.572,851.139
181.49,757.948,850.368
182.069,758.438,861.744
182.649,760.241,860.9
183.23,759.855,850.941
183.813,759.15,866.472
184.396,761.042,848.412
184.98,765.246,871.556
185.566,767.479,868.723
186.152,767.905,872.806
186.739,768.85,859.205
187.327,769.512,868.751
187.917,770.78,855.263
188.507,774.542,881.526
189.098,773.639,870.644
189.69,777.137,889.968
190.283,782.17,860.302
190.877,780.995,859.567
191.473,783.824,861.289
192.069,784.936,862.645
192.666,782.629,873.263
193.264,794.719,874.634
193.863,794.904,882.697
194.463,791.635,896.681
195.063,792.584,874.726
195.665,804.545,848.998
196.268,793.884,840.883
196.872,809.929,893.297
197.476,802.817,861.231
198.082,808.112,885.965
198.688,814.166,868.157
199.296,801.574,879.197
199.904,817.815,897.642
200.513,817.603,875.23
201.123,823.516,862.965
201.735,818.559,906.65
202.346,831.571,899.568
202.959,824.284,899.621
203.573,824.568,923.872
204.187,824.637,893.498
204.803,828.832,899.492
205.419,834.319,920.767
206.036,839.61,887.265
206.654,835.643,937.679
207.273,849.546,935.356
207.893,842.949,944.148
208.513,837.496,919.792
209.135,845.225,936.105
209.757,846.998,912.682
210.38,857.454,918.84
211.003,858.164,924.559
211.628,860.994,923.294
212.253,858.389,956.348
212.879,856.359,960.838
213.506,864.964,962.411
214.134,863.799,960.966
214.762,865.289,955.706
215.391,885.495,948.135
216.021,870.415,954.534
216.651,874.738,972.82
217.283,874.39,978.139
217.915,876.118,974.194
218.547,881.82,982.01
219.18,893.089,946.008
219.814,892.111,989.281
220.449,889.917,969.182
221.084,890.511,963.286
221.72,887.979,1006.38
222.357,897.679,964.134
222.994,900.172,990.742
223.632,908.045,1007.83
224.27,910.718,980.409
224.909,908.104,1008.66
225.548,920.351,1018.77
226.188,915.961,995.149
226.829,911.606,978.879
227.47,918.246,1007.06
228.112,922.092,977.362
228.754,917.947,1041.77
229.396,926.528,1003.46
230.04,924.5,1018.78
230.683,939.648,989.88
231.327,943.409,1025.13
231.972,936.379,1015.67
232.617,929.136,1035.95
233.262,937.309,1024.12
233.908,941.012,1049.06
234.554,946.499,1010.97
235.201,948.407,1038.66
235.848,944.984,1024.03
236.495,941.703,1066.38
237.143,945.742,1032.59
237.791,955.519,1088.74
238.439,969.379,1043.82
239.088,966.231,1040.71
239.737,974.267,1042.5
240.386,944.739,1031.1
241.036,955.318,1062.1
241.685,980.337,1077.84
242.335,970.149,1051.52
242.985,963.648,1037.65
243.636,976.358,1088.82
244.286,973.555,1062.78
244.937,966.892,1064.64
245.588,982.962,1064.0
246.239,986.717,1086.9
246.891,960.295,1071.57
247.542,981.454,1078.36
248.193,996.158,1058.84
248.845,974.985,1043.83
249.497,976.064,1082.93
250.148,992.846,1068.66
