L_S,vl1,vl2
360.0,0.0,0.0
0.514709,898.881,975.213
1.02858,901.077,979.453
1.54161,898.548,984.167
2.05381,896.173,984.986
2.56517,895.041,984.495
3.07571,891.458,971.286
3.58543,887.709,964.912
4.09433,886.451,985.503
4.60242,885.183,1004.99
5.1097,889.615,988.79
5.61618,885.706,1002.67
6.12186,890.205,996.928
6.62675,892.147,1000.12
7.13085,895.485,996.86
7.63416,893.311,1002.14
8.1367,891.015,1003.56
8.63847,897.555,1002.57
9.13947,898.26,1003.09
9.63971,898.648,998.785
10.1392,901.126,995.706
10.6379,899.802,1004.5
11.1359,894.56,1012.26
11.6331,897.34,1020.12
12.1296,895.94,1003.91
12.6254,898.371,994.967
13.1204,899.838,1005.93
13.6148,898.594,1010.07
14.1084,898.562,1004.71
14.6013,898.475,1005.77
15.0934,896.02,1012.21
15.5849,895.817,999.489
16.0757,898.458,1005.62
16.5658,899.08,994.303
17.0552,898.655,990.679
17.544,900.273,996.537
18.032,894.031,999.969
18.5194,894.983,1000.21
19.0062,898.299,997.15
19.4923,896.012,1001.41
19.9777,895.244,985.895
20.4625,898.724,992.8
20.9466,893.543,993.735
21.4301,895.17,983.63
21.913,895.287,1004.43
22.3952,892.683,1009.92
22.8769,893.855,1001.54
23.3579,896.404,1001.3
23.8383,894.621,990.48
24.3181,893.222,978.091
24.7973,891.816,981.789
25.276,890.441,991.263
25.754,891.599,980.805
26.2315,890.558,975.541
26.7083,889.347,992.549
27.1847,890.577,990.205
27.6604,888.388,988.807
28.1356,886.176,975.909
28.6103,886.77,978.078
29.0843,885.258,976.696
29.5579,886.437,982.614
30.0309,885.299,992.143
30.5034,882.627,990.629
30.9754,882.818,979.387
31.4468,881.975,976.734
31.9178,881.886,983.293
32.3882,881.839,983.152
32.8582,880.035,987.588
33.3276,879.152,993.068
33.7965,878.761,993.067
34.265,879.12,988.526
34.733,879.93,985.945
35.2005,878.699,981.26
35.6676,877.68,978.882
36.1341,877.229,981.392
36.6003,876.385,981.819
37.066,874.212,981.565
37.5312,873.691,979.543
37.996,874.417,979.466
38.4604,873.491,977.571
38.9243,871.553,975.874
39.3878,870.78,975.537
39.8509,871.334,975.103
40.3136,870.563,974.663
40.7759,868.878,975.357
41.2378,868.378,975.336
41.6993,867.521,976.057
42.1604,865.837,976.983
42.6211,866.239,974.421
43.0815,864.046,973.325
43.5415,863.6,971.51
44.0011,862.674,968.891
44.4604,861.165,965.302
44.9193,860.831,960.485
45.3778,858.783,956.63
45.8361,858.657,955.062
46.2939,857.858,953.486
46.7515,856.814,955.731
47.2087,855.769,956.219
47.6656,853.566,953.254
48.1222,854.081,945.499
48.5785,853.324,939.982
49.0345,850.238,946.157
49.4902,848.572,952.291
49.9456,848.208,949.233
50.4007,848.682,945.238
50.8556,846.652,940.083
51.3102,844.351,938.78
51.7645,841.305,943.613
52.2185,841.119,948.073
52.6723,842.437,941.24
53.1258,842.431,936.107
53.5791,840.845,927.516
54.0322,838.123,935.288
54.485,836.95,942.37
54.9376,834.735,942.244
55.3899,833.405,937.756
55.8421,832.044,935.979
56.294,831.473,938.079
56.7458,830.374,935.679
57.1973,830.121,931.018
57.6486,830.354,924.656
58.0998,829.582,929.588
58.5508,828.804,934.75
59.0016,828.064,932.632
59.4522,827.328,927.942
59.9026,825.055,924.894
60.3529,822.89,925.141
60.8031,822.018,927.379
61.2531,821.395,925.924
61.7029,820.655,921.597
62.1527,819.548,918.339
62.6023,818.204,917.363
63.0517,816.631,915.663
63.5011,815.801,914.716
63.9503,815.176,914.531
64.3994,814.88,913.042
64.8484,814.611,908.772
65.2973,813.601,907.014
65.7462,810.974,908.938
66.1949,810.21,910.496
66.6436,808.09,909.515
67.0922,806.724,907.384
67.5407,805.137,904.031
67.9891,804.904,898.164
68.4375,803.775,891.814
68.8859,802.852,890.743
69.3342,801.674,892.768
69.7824,801.133,892.1
70.2307,799.672,893.737
70.6789,798.665,892.813
71.127,798.388,888.226
71.5752,797.632,884.057
72.0233,796.275,880.778
72.4715,794.403,881.568
72.9196,794.102,880.624
73.3677,791.632,878.049
73.8159,791.82,876.197
74.264,790.046,877.349
74.7122,789.314,879.728
75.1604,787.082,876.566
75.6087,786.459,874.93
76.0569,784.231,875.226
76.5053,783.026,873.093
76.9537,781.558,868.785
77.4021,780.958,865.201
77.8506,779.776,865.551
78.2991,778.41,864.833
78.7478,777.905,866.269
79.1965,776.347,866.72
79.6453,775.227,864.18
80.0941,773.3,861.74
80.5431,772.658,859.617
80.9922,770.607,856.472
81.4414,770.206,854.427
81.8907,767.81,853.196
82.3401,766.567,853.096
82.7896,764.679,848.192
83.2393,764.063,846.446
83.6891,762.198,846.05
84.139,761.362,848.978
84.5891,760.191,849.363
85.0394,758.974,846.949
85.4898,757.776,842.394
85.9403,756.063,839.987
86.391,754.815,839.336
86.8419,753.394,838.904
87.293,752.895,836.954
87.7443,751.254,834.131
88.1957,750.583,831.921
88.6474,748.116,832.723
89.0992,747.227,831.143
89.5513,745.684,826.996
90.0036,744.221,823.348
90.4561,742.796,822.816
90.9088,742.146,823.794
91.3618,740.907,823.519
91.8149,739.471,822.663
92.2684,738.533,824.03
92.7221,736.864,821.157
93.176,735.26,816.956
93.6302,733.658,813.144
94.0846,733.123,808.935
94.5394,731.816,808.728
94.9944,729.924,814.541
95.4497,728.281,814.136
95.9053,727.412,811.381
96.3611,725.677,805.63
96.8173,725.266,803.632
97.2738,723.875,801.57
97.7305,722.29,800.1
98.1876,720.915,800.682
98.6451,719.168,799.246
99.1028,718.02,796.401
99.5609,717.247,793.973
100.019,715.913,793.234
100.478,713.69,793.563
100.937,712.52,795.941
101.397,711.432,794.593
101.857,710.689,791.963
102.317,709.718,789.855
102.777,708.455,790.42
103.238,706.879,789.402
103.7,705.614,790.8
104.161,704.001,789.886
104.623,702.897,784.385
105.086,701.738,781.048
105.549,701.077,779.933
106.012,699.938,778.982
106.476,697.773,778.382
106.94,696.339,776.397
107.405,695.09,775.076
107.87,694.216,774.058
108.335,692.545,771.742
108.801,691.699,771.089
109.268,690.243,770.989
109.735,688.62,769.819
110.202,687.524,767.349
110.67,686.701,767.051
111.138,685.63,768.381
111.607,684.504,767.292
112.076,683.82,763.581
112.546,682.921,760.847
113.016,681.199,760.794
113.487,679.836,763.085
113.958,678.708,762.55
114.43,677.73,760.832
114.902,676.32,757.576
115.375,675.0,755.441
115.848,673.863,755.269
116.322,672.626,755.401
116.796,671.49,756.741
117.271,669.87,757.159
117.747,668.582,755.69
118.223,668.445,752.481
118.7,667.133,751.311
119.177,665.976,750.233
119.655,665.072,748.91
120.133,663.512,746.351
120.612,662.849,745.551
121.092,661.924,746.246
121.572,660.99,744.831
122.053,660.015,742.91
122.534,659.928,738.691
123.016,659.288,735.61
123.499,657.642,738.367
123.982,656.943,740.8
124.466,655.447,742.298
124.95,655.132,742.885
125.435,654.405,742.783
125.921,652.0,736.803
126.408,651.96,729.58
126.895,650.806,730.002
127.383,650.394,735.206
127.871,649.593,734.241
128.36,649.145,733.237
128.85,649.017,731.095
129.34,647.013,733.37
129.832,646.648,733.076
130.324,646.135,734.158
130.816,645.611,733.443
131.309,645.868,731.734
131.803,644.499,733.971
132.298,643.567,733.703
132.794,642.734,730.255
133.29,641.326,720.891
133.787,640.411,713.518
134.285,639.18,716.482
134.783,637.854,715.452
135.282,635.02,716.865
135.782,634.847,718.293
136.283,638.309,719.965
136.784,636.549,721.307
137.286,634.774,716.6
137.789,634.634,712.988
138.293,633.976,717.613
138.798,633.393,717.365
139.303,634.442,715.289
139.809,634.885,713.301
140.316,633.536,715.84
140.824,631.509,717.112
141.333,630.281,714.472
141.842,630.458,708.136
142.352,631.806,705.254
142.863,632.088,709.473
143.375,631.625,710.64
143.888,630.804,708.916
144.401,629.62,707.794
144.916,628.295,709.582
145.431,626.269,709.675
145.947,625.265,708.364
146.464,622.386,705.33
146.982,623.383,701.92
147.5,625.407,697.807
148.02,622.511,698.555
148.54,618.566,699.474
149.061,621.32,703.209
149.584,623.408,704.646
150.107,623.883,701.959
150.631,624.001,698.099
151.155,626.016,701.165
151.681,624.548,704.301
152.208,622.575,707.532
152.735,620.477,701.987
153.264,622.321,693.742
153.793,622.843,688.616
154.323,622.907,686.873
154.855,623.884,691.814
155.387,624.498,696.846
155.92,623.52,691.887
156.454,624.642,685.773
156.989,624.744,683.301
157.524,625.558,687.867
158.061,625.154,696.357
158.599,624.616,700.127
159.138,624.833,700.325
159.677,626.082,703.317
160.218,625.635,700.814
160.76,625.536,695.931
161.302,626.622,691.27
161.846,627.294,685.688
162.39,627.934,681.638
162.935,628.894,684.032
163.482,629.766,694.379
164.029,630.275,701.977
164.577,630.058,706.777
165.127,629.955,706.991
165.677,631.883,703.994
166.228,633.663,698.223
166.781,633.133,704.342
167.334,634.691,706.221
167.888,634.663,711.501
168.443,634.544,711.279
169.0,634.059,711.648
169.557,636.06,710.98
170.115,635.898,709.475
170.674,637.528,704.959
171.234,639.805,712.02
171.796,639.744,710.598
172.358,641.037,715.052
172.921,642.067,715.41
173.485,642.231,720.746
174.05,644.294,721.418
174.617,644.786,717.862
175.184,646.313,719.761
175.752,648.036,725.285
176.321,648.128,718.481
176.892,649.882,725.64
177.463,652.029,729.482
178.035,652.038,728.015
178.608,653.736,726.404
179.183,655.068,742.656
179.758,656.291,731.48
180.334,657.656,741.958
180.911,657.414,737.357
181.49,658.51,743.178
182.069,657.746,735.123
182.649,659.259,750.814
183.23,659.127,736.37
183.813,662.88,753.657
184.396,663.9,748.374
184.98,664.75,759.527
185.566,663.29,756.278
186.152,663.192,757.528
186.739,667.566,756.731
187.327,668.236,760.304
187.917,673.154,756.849
188.507,672.465,754.02
189.098,672.017,766.962
189.69,673.387,753.439
190.283,675.56,734.887
190.877,682.37,754.916
191.473,685.901,765.695
192.069,680.794,761.751
192.666,687.743,743.038
193.264,692.532,775.794
193.863,689.178,769.135
194.463,687.686,766.1
195.063,692.645,758.47
195.665,703.865,781.231
196.268,695.455,771.764
196.872,695.596,776.545
197.476,704.138,761.994
198.082,702.646,777.703
198.688,707.318,787.046
199.296,706.841,767.2
199.904,716.899,798.768
200.513,711.171,768.046
201.123,713.967,771.738
201.735,719.732,759.921
202.346,718.999,776.691
202.959,727.374,810.298
203.573,721.88,793.175
204.187,727.231,811.15
204.803,725.815,791.378
205.419,734.47,809.485
206.036,733.06,785.559
206.654,731.349,813.455
207.273,742.693,826.969
207.893,740.452,809.714
208.513,742.072,833.256
209.135,745.85,798.035
209.757,750.651,835.214
210.38,747.993,822.783
211.003,751.632,808.248
211.628,745.815,829.316
212.253,764.649,816.287
212.879,758.587,819.768
213.506,756.107,856.378
214.134,761.497,813.978
214.762,767.303,851.582
215.391,767.567,818.711
216.021,769.658,831.478
216.651,772.772,864.718
217.283,770.304,850.022
217.915,772.765,865.913
218.547,778.509,866.77
219.18,783.577,851.458
219.814,778.942,863.52
220.449,791.348,856.493
221.084,789.826,851.299
221.72,788.535,868.649
222.357,799.275,867.214
222.994,791.513,861.913
223.632,801.465,897.19
224.27,805.811,882.721
224.909,806.092,903.201
225.548,801.277,862.514
226.188,804.513,879.064
226.829,815.964,883.358
