#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,950.52,1030.43
1.02858,952.746,1034.25
1.54161,950.251,1039.08
2.05381,947.977,1039.93
2.56517,946.917,1039.73
3.07571,942.979,1027.11
3.58543,938.37,1017.39
4.09433,937.16,1037.31
4.60242,935.629,1062.54
5.1097,941.36,1047.63
5.61618,936.277,1059.3
6.12186,940.652,1056.61
6.62675,943.179,1054.56
7.13085,945.102,1056.42
7.63416,945.277,1065.54
8.1367,943.565,1066.03
8.63847,944.99,1046.21
9.13947,951.308,1059.01
9.63971,947.234,1042.07
10.1392,946.369,1046.25
10.6379,956.336,1080.08
11.1359,948.458,1069.89
11.6331,945.18,1051.57
12.1296,952.654,1054.05
12.6254,946.221,1074.4
13.1204,946.883,1063.83
13.6148,950.634,1071.69
14.1084,949.407,1062.29
14.6013,948.683,1059.36
15.0934,954.335,1051.74
15.5849,950.093,1039.75
16.0757,946.719,1052.36
16.5658,949.005,1061.39
17.0552,947.77,1065.44
17.544,948.513,1053.5
18.032,951.891,1049.29
18.5194,949.408,1045.26
19.0062,949.879,1055.65
19.4923,948.618,1062.64
19.9777,946.55,1056.18
20.4625,946.112,1048.89
20.9466,948.295,1051.71
21.4301,947.279,1051.09
21.913,945.118,1040.04
22.3952,949.952,1051.24
22.8769,944.614,1056.14
23.3579,942.717,1048.74
23.8383,946.795,1055.42
24.3181,942.94,1052.0
24.7973,943.214,1045.58
25.276,946.658,1049.08
25.754,942.754,1044.49
26.2315,942.043,1040.01
26.7083,941.268,1049.09
27.1847,939.311,1046.24
27.6604,939.401,1049.8
28.1356,941.121,1046.84
28.6103,940.634,1037.77
29.0843,938.598,1026.78
29.5579,936.089,1036.04
30.0309,935.695,1038.06
30.5034,935.063,1044.86
30.9754,935.142,1045.11
31.4468,934.678,1039.91
31.9178,934.581,1041.79
32.3882,934.58,1045.01
32.8582,933.597,1048.36
33.3276,933.833,1047.64
33.7965,932.719,1050.8
34.265,932.833,1053.17
34.733,929.972,1041.14
35.2005,929.969,1029.87
35.6676,930.526,1026.4
36.1341,929.195,1028.07
36.6003,927.194,1035.09
37.066,927.388,1038.33
37.5312,926.613,1036.12
37.996,927.168,1034.9
38.4604,926.095,1033.39
38.9243,923.777,1031.42
39.3878,922.802,1031.6
39.8509,923.09,1029.64
40.3136,920.94,1027.12
40.7759,918.297,1025.26
41.2378,919.425,1024.6
41.6993,920.189,1019.06
42.1604,918.759,1020.09
42.6211,915.784,1022.99
43.0815,916.515,1021.67
