#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,886.177,961.629
1.02858,888.351,965.96
1.54161,885.812,970.634
2.05381,883.412,971.436
2.56517,882.275,970.864
3.07571,878.787,957.567
3.58543,875.246,952.126
4.09433,874.001,972.677
4.60242,872.748,990.693
5.1097,876.939,974.359
5.61618,873.289,989.046
6.12186,877.771,982.66
6.62675,879.475,984.215
7.13085,883.028,983.963
7.63416,880.924,979.829
8.1367,878.066,985.927
8.63847,885.673,987.397
9.13947,887.308,990.356
9.63971,886.714,991.882
10.1392,886.672,992.767
10.6379,887.328,989.788
11.1359,882.024,981.16
11.6331,888.249,993.884
12.1296,884.062,996.825
12.6254,884.274,988.461
13.1204,885.312,987.152
13.6148,886.783,1000.46
14.1084,882.718,998.432
14.6013,884.289,986.379
15.0934,886.896,993.556
15.5849,885.156,996.357
16.0757,884.727,986.447
16.5658,887.072,992.614
17.0552,884.256,991.084
17.544,884.378,974.364
18.032,886.995,999.911
18.5194,883.2,994.607
19.0062,881.133,978.066
19.4923,885.698,969.884
19.9777,883.59,982.414
20.4625,879.346,988.56
20.9466,881.257,987.78
21.4301,882.187,985.342
21.913,883.395,984.29
22.3952,881.136,977.488
22.8769,883.391,973.442
23.3579,880.481,972.239
23.8383,878.844,979.725
24.3181,879.098,987.302
24.7973,881.304,989.126
25.276,879.714,980.51
25.754,878.836,964.896
26.2315,880.542,968.187
26.7083,877.45,965.685
27.1847,876.395,961.736
27.6604,875.764,975.051
28.1356,874.526,973.398
28.6103,873.305,972.141
29.0843,871.956,971.776
29.5579,873.04,976.192
30.0309,871.732,975.691
30.5034,870.897,969.882
30.9754,870.423,971.478
31.4468,870.629,973.058
31.9178,869.139,969.14
32.3882,868.838,961.876
32.8582,867.328,965.817
33.3276,866.817,970.109
33.7965,866.036,971.036
34.265,865.86,968.799
34.733,866.393,966.455
35.2005,865.884,967.667
35.6676,865.005,975.022
36.1341,864.136,973.023
36.6003,862.44,972.416
37.066,862.188,972.528
37.5312,861.907,971.071
37.996,861.152,972.212
38.4604,860.259,969.926
38.9243,860.107,961.579
39.3878,858.392,956.343
39.8509,857.324,958.55
40.3136,858.298,961.067
40.7759,857.293,963.658
41.2378,855.104,965.57
41.6993,853.886,963.577
42.1604,854.112,954.872
42.6211,853.158,947.478
43.0815,851.739,947.496
43.5415,851.481,948.959
44.0011,850.919,950.42
44.4604,848.744,948.745
44.9193,847.538,943.536
45.3778,846.287,940.387
45.8361,846.639,939.914
46.2939,845.288,941.434
46.7515,844.045,943.579
47.2087,842.801,939.937
47.6656,841.147,939.537
48.1222,840.799,937.134
48.5785,839.892,930.879
49.0345,838.717,927.442
49.4902,836.657,926.258
49.9456,835.327,928.113
50.4007,835.505,930.257
50.8556,833.632,932.622
51.3102,833.156,931.823
51.7645,831.616,931.345
52.2185,830.233,925.994
52.6723,828.874,919.264
53.1258,827.402,926.828
53.5791,826.804,928.417
54.0322,826.463,922.884
54.485,825.6,916.915
54.9376,823.52,919.536
55.3899,822.745,923.243
55.8421,820.974,922.111
56.294,820.905,919.503
56.7458,818.812,917.555
57.1973,817.676,918.132
57.6486,816.202,913.535
58.0998,815.743,907.516
58.5508,815.83,906.933
59.0016,814.195,913.142
59.4522,814.372,913.888
59.9026,813.408,912.998
60.3529,812.095,911.338
60.8031,809.594,914.099
61.2531,808.595,918.964
61.7029,807.116,915.726
62.1527,806.521,909.989
62.6023,805.415,908.054
63.0517,804.312,899.432
63.5011,803.803,898.165
63.9503,802.11,894.106
64.3994,800.909,888.638
64.8484,800.386,887.14
65.2973,799.901,890.839
65.7462,798.45,892.774
66.1949,798.063,894.997
66.6436,796.441,895.025
67.0922,795.504,894.159
67.5407,792.732,892.756
67.9891,792.6,885.187
68.4375,791.55,877.412
68.8859,791.412,872.95
69.3342,789.739,876.885
69.7824,788.894,879.445
70.2307,787.934,880.03
70.6789,787.36,877.195
71.127,785.714,877.343
71.5752,783.736,877.799
72.0233,782.988,872.977
72.4715,781.215,867.803
72.9196,780.874,868.229
73.3677,779.008,866.815
73.8159,778.278,867.046
74.264,776.702,862.863
74.7122,776.888,859.996
75.1604,774.878,862.91
75.6087,773.479,863.544
76.0569,772.106,861.546
76.5053,771.15,859.319
76.9537,769.727,855.159
77.4021,768.696,853.052
77.8506,767.154,852.288
78.2991,765.468,853.528
78.7478,764.553,853.68
79.1965,763.474,850.614
79.6453,762.754,849.402
80.0941,761.03,847.19
80.5431,760.943,844.606
80.9922,759.03,843.589
81.4414,758.136,843.994
81.8907,756.127,843.051
82.3401,754.849,839.856
82.7896,753.002,834.83
83.2393,751.737,830.39
83.6891,750.617,830.42
84.139,749.256,833.156
84.5891,747.746,833.383
85.0394,746.083,832.948
85.4898,745.149,830.553
85.9403,743.826,826.726
86.391,743.049,822.46
86.8419,741.439,820.885
87.293,740.176,822.001
87.7443,739.008,819.792
88.1957,738.468,817.65
88.6474,736.239,816.11
89.0992,734.538,815.609
89.5513,733.206,816.595
90.0036,732.883,813.927
90.4561,731.708,810.61
90.9088,729.983,812.193
91.3618,728.65,808.943
91.8149,727.106,808.961
92.2684,726.01,808.229
92.7221,724.429,807.268
93.176,723.426,804.325
93.6302,722.014,804.288
94.0846,720.895,803.124
94.5394,718.873,800.185
94.9944,717.798,798.472
95.4497,716.14,795.946
95.9053,715.259,793.333
96.3611,714.013,793.581
96.8173,712.831,791.807
97.2738,711.403,791.126
97.7305,709.885,791.46
98.1876,708.912,791.076
98.6451,707.28,789.364
99.1028,706.219,786.84
99.5609,704.464,784.046
100.019,703.263,780.015
100.478,702.02,777.649
100.937,701.379,775.697
101.397,699.677,773.675
101.857,698.13,774.411
102.317,696.299,774.701
102.777,695.386,773.972
103.238,694.595,772.093
103.7,693.692,769.532
104.161,692.207,766.549
104.623,690.074,769.92
105.086,689.404,771.704
105.549,687.834,772.523
106.012,686.734,769.666
106.476,685.455,766.767
106.94,684.161,762.687
