#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,918.342,996.023
1.02858,920.571,1000.11
1.54161,918.038,1004.89
2.05381,915.71,1005.73
2.56517,914.593,1005.32
3.07571,910.872,992.278
3.58543,906.804,984.49
4.09433,905.54,1005.05
4.60242,904.216,1026.8
5.1097,909.115,1011.09
5.61618,904.742,1023.84
6.12186,909.257,1019.52
6.62675,911.471,1022.06
7.13085,914.449,1018.16
7.63416,912.641,1027.83
8.1367,911.217,1025.04
8.63847,915.377,1022.77
9.13947,919.012,1013.77
9.63971,917.23,1009.82
10.1392,920.263,1008.77
10.6379,917.522,1027.18
11.1359,913.335,1031.3
11.6331,919.515,1031.26
12.1296,917.634,1046.43
12.6254,912.691,1029.38
13.1204,919.652,1021.51
13.6148,921.07,1039.31
14.1084,917.929,1030.94
14.6013,913.365,1018.65
15.0934,922.813,1037.31
15.5849,913.576,1040.03
16.0757,913.109,1021.9
16.5658,918.742,1028.93
17.0552,915.717,1010.45
17.544,916.612,1007.04
18.032,920.523,1025.02
18.5194,913.147,1028.84
19.0062,911.729,1019.12
19.4923,916.356,1020.8
19.9777,916.382,1006.61
20.4625,915.757,1007.35
20.9466,916.738,1027.45
21.4301,912.6,1017.67
21.913,911.049,992.529
22.3952,916.638,1012.89
22.8769,912.822,1022.65
23.3579,912.652,998.102
23.8383,912.089,1004.25
24.3181,913.437,1017.28
24.7973,913.028,1017.03
25.276,909.722,1010.5
25.754,910.015,1007.31
26.2315,911.916,1015.17
26.7083,910.753,1013.71
27.1847,908.29,1013.73
27.6604,907.615,1004.42
28.1356,908.818,1006.64
28.6103,907.225,1005.19
29.0843,905.733,1003.36
29.5579,903.445,996.469
30.0309,903.363,1008.14
30.5034,903.369,1011.66
30.9754,901.953,1013.89
31.4468,901.151,1013.25
31.9178,902.546,1005.5
32.3882,901.569,1002.25
32.8582,899.98,1007.07
33.3276,900.173,1006.1
33.7965,899.32,996.828
34.265,898.647,997.471
34.733,899.233,1002.65
35.2005,897.357,1010.33
35.6676,895.92,1012.38
36.1341,894.996,1007.12
36.6003,895.691,1005.78
37.066,895.545,1009.38
37.5312,895.628,1009.84
37.996,892.41,1003.6
38.4604,891.525,997.921
38.9243,891.718,992.748
39.3878,891.593,993.27
39.8509,889.997,997.727
40.3136,890.635,1000.68
40.7759,889.182,998.482
41.2378,887.192,995.707
41.6993,886.949,992.874
42.1604,885.893,987.466
42.6211,884.677,985.991
43.0815,884.006,986.391
43.5415,882.865,984.312
44.0011,882.496,983.882
44.4604,880.937,982.852
44.9193,880.681,978.974
45.3778,879.895,976.258
45.8361,877.819,977.808
46.2939,877.314,977.306
46.7515,874.43,974.799
47.2087,875.127,972.051
47.6656,874.062,971.521
48.1222,872.421,970.842
48.5785,871.239,968.933
49.0345,869.843,965.009
49.4902,870.432,963.932
49.9456,869.026,968.713
50.4007,867.809,969.086
50.8556,865.221,970.932
51.3102,863.951,969.148
51.7645,862.745,962.468
52.2185,861.891,960.844
52.6723,861.233,959.281
53.1258,859.881,957.044
53.5791,858.923,955.525
54.0322,857.523,959.905
54.485,857.518,958.723
54.9376,855.691,955.58
55.3899,854.523,950.134
55.8421,851.249,946.826
56.294,850.301,950.674
56.7458,848.298,953.032
57.1973,848.721,946.041
57.6486,849.901,942.226
58.0998,849.56,949.988
58.5508,848.377,951.727
59.0016,845.901,952.513
59.4522,844.408,953.596
59.9026,843.644,951.434
60.3529,843.975,944.367
60.8031,841.805,937.147
61.2531,840.533,936.432
61.7029,839.68,937.103
62.1527,838.708,936.015
62.6023,836.361,936.115
63.0517,834.648,937.104
63.5011,833.775,935.306
63.9503,832.684,935.989
64.3994,832.328,936.435
64.8484,831.412,934.322
65.2973,830.602,931.629
65.7462,830.182,929.062
66.1949,830.088,924.238
66.6436,828.264,918.115
67.0922,827.382,914.591
67.5407,825.283,913.417
67.9891,823.977,918.002
68.4375,822.834,920.682
68.8859,822.459,921.289
69.3342,820.819,918.946
69.7824,819.877,917.348
70.2307,817.82,915.885
70.6789,817.487,908.634
71.127,815.815,903.34
71.5752,814.686,901.476
72.0233,814.599,904.568
72.4715,814.513,904.474
72.9196,813.061,902.601
73.3677,811.259,899.04
73.8159,810.34,896.693
74.264,808.561,898.713
74.7122,808.039,896.646
75.1604,806.804,895.764
75.6087,805.663,896.349
76.0569,803.271,896.836
76.5053,802.624,895.112
76.9537,800.456,893.489
77.4021,799.543,888.132
77.8506,797.964,885.753
78.2991,796.791,882.136
78.7478,794.94,882.668
79.1965,793.919,881.657
79.6453,793.445,881.585
80.0941,792.648,879.759
80.5431,790.473,877.097
80.9922,788.538,876.49
81.4414,787.905,873.461
81.8907,787.027,872.508
82.3401,786.405,870.493
82.7896,783.937,867.376
83.2393,782.879,867.243
83.6891,781.794,865.051
84.139,780.835,865.408
84.5891,778.495,866.601
85.0394,778.299,867.749
85.4898,777.059,866.314
85.9403,775.858,862.906
86.391,773.997,859.634
86.8419,772.535,858.001
87.293,771.169,856.701
87.7443,769.464,855.101
88.1957,767.909,852.867
88.6474,766.2,852.058
89.0992,765.471,851.815
89.5513,763.822,848.298
90.0036,762.923,844.945
90.4561,761.049,845.373
90.9088,760.528,845.175
91.3618,758.843,842.736
91.8149,757.869,838.531
92.2684,756.425,837.006
92.7221,755.372,835.305
93.176,754.241,837.481
93.6302,752.685,834.372
94.0846,751.49,833.121
94.5394,749.715,832.438
94.9944,748.428,830.266
95.4497,747.049,829.97
95.9053,745.826,829.502
96.3611,743.544,828.682
96.8173,742.419,826.428
97.2738,741.242,822.37
97.7305,740.309,820.192
98.1876,739.036,820.205
98.6451,738.361,819.525
99.1028,736.97,818.35
99.5609,735.212,819.366
100.019,734.07,816.368
100.478,732.834,812.056
100.937,731.619,810.318
101.397,730.331,811.601
101.857,728.997,812.622
102.317,727.285,810.762
