#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,918.342,996.023
1.02858,920.571,1000.11
1.54161,918.038,1004.89
2.05381,915.71,1005.73
2.56517,914.593,1005.32
3.07571,910.872,992.278
3.58543,906.804,984.49
4.09433,905.54,1005.05
4.60242,904.216,1026.8
5.1097,909.115,1011.09
5.61618,904.742,1023.84
6.12186,909.257,1019.52
6.62675,911.471,1022.06
7.13085,914.449,1018.16
7.63416,912.641,1027.83
8.1367,911.217,1025.04
8.63847,915.377,1022.77
9.13947,919.012,1013.77
9.63971,917.23,1009.82
10.1392,920.263,1008.77
10.6379,917.522,1027.18
11.1359,913.335,1031.3
11.6331,919.515,1031.26
12.1296,917.634,1046.43
12.6254,912.691,1029.38
13.1204,919.652,1021.51
13.6148,921.07,1039.31
14.1084,917.929,1030.94
14.6013,913.365,1018.65
15.0934,922.813,1037.31
15.5849,913.576,1040.03
16.0757,913.109,1021.9
16.5658,918.742,1028.93
17.0552,915.717,1010.45
17.544,916.612,1007.04
18.032,920.523,1025.02
18.5194,913.147,1028.84
19.0062,911.729,1019.12
19.4923,916.356,1020.8
19.9777,916.382,1006.62
20.4625,915.758,1007.35
20.9466,916.737,1027.45
21.4301,912.6,1017.67
21.913,911.049,992.519
22.3952,916.637,1012.88
22.8769,912.822,1022.66
23.3579,912.65,998.107
23.8383,912.09,1004.25
24.3181,913.437,1017.27
24.7973,913.028,1017.02
25.276,909.723,1010.5
25.754,910.013,1007.33
26.2315,911.929,1015.14
26.7083,910.749,1013.58
27.1847,908.237,1013.6
27.6604,907.638,1004.39
28.1356,908.851,1006.91
28.6103,907.112,1005.0
29.0843,905.75,1003.52
29.5579,903.583,997.191
30.0309,903.237,1007.39
30.5034,903.123,1010.63
30.9754,902.089,1012.44
31.4468,901.286,1011.93
31.9178,902.513,1003.94
32.3882,901.938,1002.53
32.8582,900.577,1007.86
33.3276,899.17,1011.66
33.7965,899.737,1007.39
34.265,898.816,1003.53
34.733,899.251,1003.35
35.2005,896.937,1006.31
35.6676,896.259,1001.48
36.1341,896.306,995.468
36.6003,894.446,988.712
37.066,893.587,994.246
37.5312,893.935,1003.07
37.996,892.847,1002.51
38.4604,891.541,999.343
38.9243,890.631,993.804
39.3878,891.234,993.889
39.8509,891.916,995.559
40.3136,890.339,997.178
40.7759,888.586,996.426
41.2378,887.831,997.765
41.6993,886.506,997.365
42.1604,885.366,998.753
42.6211,885.243,996.538
43.0815,884.324,993.616
43.5415,883.634,994.387
44.0011,882.267,994.326
44.4604,880.789,993.049
44.9193,879.914,989.731
45.3778,879.84,983.398
45.8361,877.771,978.071
46.2939,875.946,973.271
46.7515,874.719,975.137
47.2087,875.141,976.592
47.6656,873.619,973.145
48.1222,873.255,967.614
48.5785,871.181,965.993
49.0345,869.512,966.974
49.4902,868.436,967.894
49.9456,866.837,966.245
50.4007,867.417,962.79
50.8556,865.815,963.957
51.3102,864.513,964.444
51.7645,863.233,964.636
52.2185,863.403,962.539
52.6723,862.131,959.556
53.1258,860.113,958.639
53.5791,858.389,956.868
54.0322,857.34,957.056
54.485,856.692,957.553
54.9376,855.712,956.349
55.3899,855.934,955.225
55.8421,854.357,949.415
56.294,852.64,946.16
56.7458,850.626,949.443
57.1973,848.848,956.927
57.6486,847.554,956.211
58.0998,847.204,951.074
58.5508,846.717,950.634
59.0016,845.077,952.249
59.4522,844.633,951.632
59.9026,842.943,949.67
60.3529,843.869,945.19
60.8031,842.598,940.338
61.2531,842.413,937.461
61.7029,839.985,938.104
62.1527,838.378,940.108
62.6023,837.201,936.542
63.0517,836.726,934.276
63.5011,834.639,938.643
63.9503,832.862,941.54
64.3994,832.592,941.489
64.8484,831.977,939.244
65.2973,829.788,934.616
65.7462,828.504,927.586
66.1949,829.057,923.548
66.6436,827.782,925.211
67.0922,827.254,927.344
67.5407,825.191,929.416
67.9891,824.362,926.72
68.4375,823.721,919.755
68.8859,823.966,914.971
69.3342,821.475,911.75
69.7824,820.48,909.529
70.2307,818.508,905.251
70.6789,817.916,904.359
71.127,816.088,906.776
71.5752,815.412,909.046
72.0233,815.118,905.31
72.4715,813.672,905.804
72.9196,812.167,903.5
73.3677,810.166,904.041
73.8159,809.248,902.449
74.264,807.919,901.282
74.7122,807.429,900.34
75.1604,805.565,898.659
75.6087,805.05,894.386
76.0569,803.057,891.938
76.5053,803.151,890.459
76.9537,802.223,889.861
77.4021,801.049,887.889
77.8506,799.01,887.634
78.2991,797.881,887.566
78.7478,795.743,886.909
79.1965,794.774,886.125
79.6453,794.022,883.543
80.0941,792.62,880.145
80.5431,791.519,877.139
80.9922,790.357,875.143
81.4414,789.279,875.336
81.8907,787.164,873.863
82.3401,786.769,872.251
82.7896,784.627,871.247
83.2393,783.65,872.094
83.6891,781.414,869.023
84.139,779.514,867.338
84.5891,777.661,866.024
85.0394,777.578,864.481
85.4898,776.364,860.573
85.9403,775.209,858.719
86.391,773.802,859.51
86.8419,773.062,859.156
87.293,772.667,858.893
87.7443,770.609,855.002
88.1957,768.41,853.065
88.6474,767.39,852.967
89.0992,766.409,852.208
89.5513,764.505,851.538
90.0036,763.449,851.826
90.4561,761.828,850.396
90.9088,760.193,846.271
91.3618,758.411,842.214
91.8149,757.506,841.532
92.2684,756.422,841.11
92.7221,755.149,840.844
93.176,753.31,839.626
93.6302,752.426,836.396
94.0846,750.94,834.125
94.5394,749.877,831.864
94.9944,749.249,830.932
95.4497,748.083,830.5
95.9053,746.503,829.678
96.3611,744.293,827.957
96.8173,743.82,824.95
97.2738,742.691,821.454
97.7305,741.303,821.931
98.1876,739.433,821.997
98.6451,738.771,821.583
99.1028,736.886,821.472
99.5609,735.476,819.899
100.019,734.674,817.856
100.478,733.465,818.956
100.937,731.889,818.915
101.397,730.933,815.873
101.857,730.067,814.649
102.317,728.354,814.907
