#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,918.342,996.023
1.02858,920.571,1000.11
1.54161,918.038,1004.89
2.05381,915.71,1005.73
2.56517,914.593,1005.32
3.07571,910.872,992.278
3.58543,906.804,984.49
4.09433,905.54,1005.05
4.60242,904.216,1026.8
5.1097,909.115,1011.09
5.61618,904.742,1023.84
6.12186,909.257,1019.52
6.62675,911.471,1022.06
7.13085,914.449,1018.16
7.63416,912.641,1027.83
8.1367,911.217,1025.04
8.63847,915.377,1022.77
9.13947,919.012,1013.77
9.63971,917.23,1009.82
10.1392,920.263,1008.77
10.6379,917.522,1027.18
11.1359,913.335,1031.3
11.6331,919.515,1031.26
12.1296,917.634,1046.43
12.6254,912.691,1029.38
13.1204,919.652,1021.51
13.6148,921.07,1039.31
14.1084,917.929,1030.94
14.6013,913.365,1018.65
15.0934,922.813,1037.31
15.5849,913.576,1040.03
16.0757,913.109,1021.9
16.5658,918.742,1028.93
17.0552,915.717,1010.45
17.544,916.613,1007.04
18.032,920.522,1025.02
18.5194,913.147,1028.84
19.0062,911.729,1019.12
19.4923,916.356,1020.79
19.9777,916.381,1006.61
20.4625,915.758,1007.34
20.9466,916.74,1027.46
21.4301,912.599,1017.69
21.913,911.048,992.56
22.3952,916.637,1012.88
22.8769,912.821,1022.59
23.3579,912.657,998.02
23.8383,912.082,1004.27
24.3181,913.445,1017.4
24.7973,913.016,1017.11
25.276,909.704,1010.52
25.754,910.042,1007.01
26.2315,911.82,1015.07
26.7083,910.81,1014.13
27.1847,908.243,1014.61
27.6604,907.499,1004.7
28.1356,909.162,1006.38
28.6103,907.052,1007.0
29.0843,905.606,1003.38
29.5579,903.07,997.915
30.0309,904.002,1005.98
30.5034,903.308,1008.91
30.9754,901.67,1014.61
31.4468,902.359,1013.89
31.9178,902.956,1014.03
32.3882,900.773,1010.83
32.8582,901.321,1006.94
33.3276,899.89,1008.0
33.7965,899.17,1007.47
34.265,899.25,1003.64
34.733,898.199,1001.2
35.2005,896.736,1000.51
35.6676,896.069,1001.25
36.1341,896.368,1000.88
36.6003,895.195,998.437
37.066,892.981,995.437
37.5312,893.12,995.038
37.996,892.96,996.354
38.4604,892.355,1003.24
38.9243,891.761,1005.94
39.3878,890.667,1005.07
39.8509,890.602,1005.91
40.3136,890.895,1002.32
40.7759,890.459,995.429
41.2378,887.369,988.954
41.6993,886.292,982.625
42.1604,886.032,983.063
42.6211,885.56,983.788
43.0815,884.051,985.976
43.5415,882.058,987.146
44.0011,882.881,984.267
44.4604,882.678,982.818
44.9193,881.171,982.328
45.3778,879.259,979.15
45.8361,877.54,979.546
46.2939,877.79,979.5
46.7515,876.349,973.122
47.2087,875.159,969.965
47.6656,873.77,975.116
48.1222,872.836,978.067
48.5785,872.341,972.823
49.0345,870.105,965.704
49.4902,869.648,959.991
49.9456,867.941,966.099
50.4007,867.692,971.67
50.8556,866.261,970.565
51.3102,865.189,964.043
51.7645,862.879,958.668
52.2185,861.677,960.579
52.6723,861.387,961.105
53.1258,860.771,960.543
53.5791,860.103,962.051
54.0322,857.997,963.159
54.485,857.227,956.375
54.9376,855.082,956.609
55.3899,853.764,956.528
55.8421,851.484,955.869
56.294,851.264,953.041
56.7458,849.022,950.64
57.1973,849.45,947.685
57.6486,849.129,946.476
58.0998,847.646,948.367
58.5508,847.962,952.102
59.0016,847.449,950.691
59.4522,846.007,945.758
59.9026,843.118,947.364
60.3529,841.766,948.317
60.8031,840.969,950.428
61.2531,840.533,948.531
61.7029,838.539,942.996
62.1527,838.109,936.799
62.6023,837.415,930.618
63.0517,837.187,929.134
63.5011,834.888,927.616
63.9503,832.665,928.458
64.3994,832.415,930.285
64.8484,832.981,929.228
65.2973,832.158,922.683
65.7462,830.267,920.912
66.1949,829.312,923.648
66.6436,828.443,923.194
67.0922,826.58,920.166
67.5407,825.097,919.172
67.9891,823.657,918.663
68.4375,822.807,917.42
68.8859,822.76,918.753
69.3342,820.975,916.141
69.7824,820.274,917.34
70.2307,818.591,914.946
70.6789,818.298,910.959
71.127,817.107,908.752
71.5752,816.25,907.463
72.0233,814.727,905.258
72.4715,813.732,902.731
72.9196,812.311,902.246
73.3677,812.241,900.594
73.8159,811.188,897.757
74.264,809.855,896.379
74.7122,808.228,898.359
75.1604,805.841,898.677
75.6087,804.642,895.422
76.0569,804.115,891.501
76.5053,802.82,890.945
76.9537,800.618,888.207
77.4021,800.16,884.763
77.8506,797.935,883.983
78.2991,797.724,884.851
78.7478,795.931,882.614
79.1965,795.398,883.408
79.6453,793.471,879.199
80.0941,793.079,876.566
80.5431,791.613,876.892
80.9922,790.334,877.243
81.4414,788.368,872.839
81.8907,786.89,870.969
82.3401,786.558,869.634
82.7896,784.985,867.639
83.2393,783.208,866.007
83.6891,781.573,866.268
84.139,780.781,865.137
84.5891,779.162,863.833
85.0394,778.477,861.738
85.4898,776.39,859.263
85.9403,775.456,857.314
86.391,773.706,857.405
86.8419,772.672,856.802
87.293,771.312,854.872
87.7443,771.052,852.859
88.1957,769.074,850.601
88.6474,767.236,848.456
89.0992,765.523,848.938
89.5513,764.574,850.362
90.0036,763.457,847.294
90.4561,762.051,845.182
90.9088,760.541,844.571
91.3618,759.014,842.202
91.8149,758.133,838.368
92.2684,756.458,836.075
92.7221,755.414,835.348
93.176,753.475,833.409
93.6302,752.417,834.662
94.0846,750.743,836.796
94.5394,750.041,835.29
94.9944,748.925,832.088
95.4497,747.437,829.881
95.9053,745.335,828.295
96.3611,744.235,825.882
96.8173,743.776,823.934
97.2738,742.646,822.95
97.7305,740.916,821.84
98.1876,738.822,821.455
98.6451,738.048,820.755
99.1028,736.45,819.511
99.5609,735.456,818.452
100.019,734.103,816.64
100.478,733.171,814.042
100.937,731.518,810.302
101.397,730.424,810.58
101.857,729.678,808.713
102.317,728.255,806.719
