#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,918.342,996.023
1.02858,920.571,1000.11
1.54161,918.038,1004.89
2.05381,915.71,1005.73
2.56517,914.593,1005.32
3.07571,910.872,992.278
3.58543,906.804,984.49
4.09433,905.54,1005.05
4.60242,904.216,1026.8
5.1097,909.115,1011.09
5.61618,904.742,1023.84
6.12186,909.257,1019.52
6.62675,911.471,1022.06
7.13085,914.449,1018.16
7.63416,912.641,1027.83
8.1367,911.217,1025.04
8.63847,915.377,1022.77
9.13947,919.012,1013.77
9.63971,917.23,1009.82
10.1392,920.263,1008.77
10.6379,917.522,1027.18
11.1359,913.335,1031.3
11.6331,919.515,1031.26
12.1296,917.634,1046.43
12.6254,912.691,1029.38
13.1204,919.652,1021.51
13.6148,921.07,1039.31
14.1084,917.929,1030.94
14.6013,913.365,1018.65
15.0934,922.813,1037.31
15.5849,913.576,1040.03
16.0757,913.109,1021.9
16.5658,918.742,1028.93
17.0552,915.717,1010.45
17.544,916.612,1007.04
18.032,920.523,1025.02
18.5194,913.147,1028.84
19.0062,911.729,1019.12
19.4923,916.356,1020.79
19.9777,916.381,1006.61
20.4625,915.758,1007.35
20.9466,916.739,1027.46
21.4301,912.598,1017.69
21.913,911.048,992.553
22.3952,916.638,1012.88
22.8769,912.818,1022.59
23.3579,912.656,998.012
23.8383,912.078,1004.28
24.3181,913.442,1017.4
24.7973,913.013,1017.12
25.276,909.708,1010.54
25.754,910.041,1006.93
26.2315,911.777,1015.05
26.7083,910.842,1014.33
27.1847,908.239,1014.8
27.6604,907.428,1004.33
28.1356,909.301,1006.11
28.6103,907.034,1006.88
29.0843,905.547,1003.58
29.5579,903.053,998.938
30.0309,903.962,1006.29
30.5034,903.22,1005.12
30.9754,901.993,1010.31
31.4468,902.456,1013.12
31.9178,902.748,1013.5
32.3882,900.942,1015.6
32.8582,900.899,1014.59
33.3276,899.966,1009.19
33.7965,898.877,1005.9
34.265,898.726,1002.31
34.733,897.942,995.969
35.2005,896.558,991.05
35.6676,895.588,990.053
36.1341,894.831,994.595
36.6003,894.969,1002.6
37.066,893.715,1003.85
37.5312,892.128,1004.22
37.996,893.498,1005.9
38.4604,892.959,1002.96
38.9243,891.971,1006.1
39.3878,892.371,1006.54
39.8509,892.966,996.272
40.3136,891.018,988.374
40.7759,889.552,988.594
41.2378,888.22,988.622
41.6993,886.303,986.702
42.1604,884.472,986.497
42.6211,884.756,991.342
43.0815,886.224,993.525
43.5415,883.88,990.669
44.0011,881.307,987.869
44.4604,881.067,985.167
44.9193,881.668,980.66
45.3778,879.052,977.916
45.8361,876.301,978.633
46.2939,877.311,976.934
46.7515,876.247,974.512
47.2087,875.922,971.911
47.6656,873.887,972.68
48.1222,872.216,970.72
48.5785,871.863,967.293
49.0345,869.814,968.736
49.4902,869.027,967.502
49.9456,867.816,967.162
50.4007,867.098,964.063
50.8556,866.174,963.292
51.3102,864.896,961.564
51.7645,862.501,959.136
52.2185,860.191,964.224
52.6723,860.356,965.78
53.1258,860.72,962.522
53.5791,860.735,956.924
54.0322,857.862,956.131
54.485,856.912,958.796
54.9376,855.388,957.518
55.3899,854.237,953.398
55.8421,851.985,953.589
56.294,851.01,953.458
56.7458,850.011,954.08
57.1973,849.319,960.701
57.6486,847.917,959.072
58.0998,846.892,955.657
58.5508,847.274,950.228
59.0016,845.24,947.717
59.4522,844.888,950.838
59.9026,843.643,950.363
60.3529,842.577,946.036
60.8031,841.455,942.331
61.2531,841.716,943.697
61.7029,840.398,943.337
62.1527,838.411,937.621
62.6023,837.179,930.263
63.0517,836.152,932.168
63.5011,836.138,933.802
63.9503,834.718,932.137
64.3994,832.721,931.396
64.8484,831.264,932.467
65.2973,830.31,933.643
65.7462,829.448,931.612
66.1949,828.004,926.59
66.6436,826.483,920.37
67.0922,826.148,917.067
67.5407,825.196,916.326
67.9891,825.08,919.494
68.4375,823.553,919.384
68.8859,823.355,917.597
69.3342,820.807,917.203
69.7824,819.531,915.711
70.2307,817.871,915.375
70.6789,817.581,914.598
71.127,816.565,912.25
71.5752,815.589,911.283
72.0233,813.776,908.767
72.4715,812.563,903.859
72.9196,812.804,901.175
73.3677,812.143,899.517
73.8159,811.146,896.939
74.264,809.137,893.04
74.7122,808.664,893.653
75.1604,806.847,894.285
75.6087,806.609,894.473
76.0569,804.393,890.707
76.5053,802.906,890.778
76.9537,800.645,888.089
77.4021,800.284,886.332
77.8506,797.794,884.318
78.2991,796.982,882.496
78.7478,795.032,880.937
79.1965,793.793,882.862
79.6453,793.087,881.107
80.0941,791.747,879.155
80.5431,790.469,874.459
80.9922,789.415,871.724
81.4414,788.851,871.258
81.8907,787.233,870.392
82.3401,785.509,870.697
82.7896,783.329,867.989
83.2393,782.576,866.219
83.6891,780.162,867.78
84.139,779.762,864.951
84.5891,778.985,863.472
85.0394,778.473,863.027
85.4898,776.092,862.16
85.9403,775.178,861.571
86.391,773.825,860.65
86.8419,772.825,859.294
87.293,771.401,855.133
87.7443,769.722,851.936
88.1957,768.563,851.516
88.6474,767.021,851.193
89.0992,765.802,850.234
89.5513,764.387,848.877
90.0036,763.52,848.244
90.4561,761.544,847.409
90.9088,760.384,846.896
91.3618,758.53,844.914
91.8149,757.365,841.382
92.2684,756.016,838.681
92.7221,755.743,837.383
93.176,754.457,836.211
93.6302,753.218,836.14
94.0846,751.151,834.047
94.5394,749.443,834.944
94.9944,748.511,830.964
95.4497,747.478,827.692
95.9053,746.51,827.336
96.3611,744.335,826.152
96.8173,743.092,825.27
97.2738,741.54,823.988
97.7305,740.345,822.136
98.1876,738.788,820.286
98.6451,737.913,818.276
99.1028,736.409,815.918
99.5609,734.818,815.059
100.019,733.817,816.618
100.478,733.31,814.151
100.937,732.25,814.3
101.397,730.466,812.242
101.857,728.829,809.95
102.317,727.31,809.508
