L_S,vl1,vl2
360.0,0.0,0.0
0.514709,946.819,1026.47
1.02858,949.047,1030.32
1.54161,946.547,1035.15
2.05381,944.267,1036.0
2.56517,943.198,1035.78
3.07571,939.286,1023.1
3.58543,934.74,1013.58
4.09433,933.522,1033.6
4.60242,932.017,1058.45
5.1097,937.661,1043.46
5.61618,932.649,1055.23
6.12186,937.05,1052.42
6.62675,939.539,1050.7
7.13085,941.614,1052.5
7.63416,941.545,1061.27
8.1367,939.761,1060.53
8.63847,941.529,1042.71
9.13947,948.315,1051.23
9.63971,944.044,1038.0
10.1392,943.325,1050.09
10.6379,950.761,1072.2
11.1359,944.495,1059.91
11.6331,942.428,1049.9
12.1296,950.484,1062.45
12.6254,943.057,1051.42
13.1204,941.995,1033.09
13.6148,948.359,1057.76
14.1084,948.095,1064.21
14.6013,942.059,1060.37
15.0934,945.323,1061.57
15.5849,950.118,1071.25
16.0757,941.605,1051.52
16.5658,943.943,1043.77
17.0552,953.224,1060.94
17.544,945.781,1063.26
18.032,941.469,1047.98
18.5194,945.977,1051.97
19.0062,942.14,1069.4
19.4923,940.514,1056.53
19.9777,944.575,1045.52
20.4625,947.327,1047.06
20.9466,944.187,1050.45
21.4301,942.028,1048.74
21.913,944.147,1044.94
22.3952,942.769,1049.66
22.8769,941.737,1047.97
23.3579,943.147,1039.97
23.8383,943.568,1048.6
24.3181,941.168,1043.39
24.7973,940.915,1044.34
25.276,939.868,1041.34
25.754,939.551,1053.12
26.2315,938.919,1054.4
26.7083,938.974,1052.87
27.1847,939.156,1053.69
27.6604,939.092,1054.45
28.1356,936.544,1048.4
28.6103,933.627,1032.92
29.0843,933.534,1023.64
29.5579,931.048,1027.37
30.0309,930.171,1025.76
30.5034,931.131,1026.25
30.9754,928.648,1023.54
31.4468,927.372,1025.26
31.9178,928.557,1028.16
32.3882,929.022,1027.78
32.8582,926.885,1036.61
33.3276,927.981,1043.86
33.7965,927.389,1042.61
34.265,927.405,1046.94
34.733,928.576,1047.53
35.2005,927.842,1041.19
35.6676,926.235,1038.55
36.1341,925.464,1035.84
36.6003,924.887,1026.46
37.066,923.04,1025.45
37.5312,922.701,1026.97
37.996,922.693,1021.94
38.4604,920.574,1027.45
38.9243,920.936,1028.65
39.3878,919.715,1031.18
39.8509,918.777,1031.94
40.3136,918.105,1028.43
40.7759,916.666,1022.39
41.2378,916.01,1016.38
41.6993,914.948,1018.32
42.1604,914.851,1022.13
42.6211,913.981,1021.6
43.0815,913.002,1019.99
43.5415,910.78,1020.92
44.0011,911.219,1018.5
44.4604,911.032,1012.29
44.9193,908.409,1007.05
45.3778,908.632,1006.95
45.8361,906.694,1008.18
46.2939,905.694,1007.05
46.7515,903.637,1008.01
47.2087,902.543,1004.99
47.6656,902.538,999.886
48.1222,899.796,997.372
48.5785,899.36,996.336
49.0345,898.191,997.47
49.4902,897.696,997.378
49.9456,896.055,999.083
50.4007,896.161,998.751
50.8556,893.545,992.77
51.3102,891.166,991.637
51.7645,888.404,995.176
52.2185,889.073,995.673
52.6723,890.231,990.067
53.1258,889.273,985.09
53.5791,887.537,988.256
54.0322,884.99,988.482
54.485,884.381,981.931
54.9376,883.091,985.032
55.3899,882.556,987.516
55.8421,880.702,988.029
56.294,880.61,984.658
56.7458,877.663,976.3
57.1973,877.224,979.186
57.6486,875.98,983.429
58.0998,875.075,984.057
58.5508,874.649,977.84
59.0016,874.417,975.04
59.4522,872.214,977.627
59.9026,870.022,978.46
60.3529,869.716,976.413
60.8031,868.909,977.026
61.2531,868.996,976.379
61.7029,866.36,975.13
62.1527,864.916,972.847
62.6023,863.562,970.629
63.0517,864.684,965.967
63.5011,862.806,959.931
63.9503,862.356,955.506
64.3994,860.984,954.798
64.8484,859.335,958.037
65.2973,857.894,957.899
65.7462,857.359,958.422
66.1949,857.081,959.691
66.6436,855.76,958.321
67.0922,854.183,953.952
67.5407,852.23,952.418
67.9891,851.979,948.337
68.4375,850.753,942.155
68.8859,850.06,938.666
69.3342,848.632,936.984
69.7824,847.356,940.253
70.2307,846.029,944.736
70.6789,845.392,945.054
71.127,843.274,946.836
71.5752,843.538,947.121
72.0233,842.547,942.588
72.4715,842.509,935.518
72.9196,839.586,930.854
73.3677,838.533,928.622
73.8159,837.742,928.069
74.264,836.358,928.431
74.7122,834.865,928.368
75.1604,833.339,925.142
75.6087,832.444,923.256
76.0569,830.823,921.019
76.5053,829.733,921.826
76.9537,828.483,919.15
77.4021,828.01,914.061
77.8506,825.328,913.766
78.2991,825.285,916.012
78.7478,824.228,913.0
79.1965,822.577,912.323
79.6453,820.109,909.459
80.0941,819.144,909.077
80.5431,817.425,907.923
80.9922,816.461,905.741
81.4414,814.595,899.636
81.8907,814.38,899.116
82.3401,813.62,900.918
82.7896,812.34,899.32
83.2393,810.699,896.346
83.6891,808.791,895.682
84.139,806.885,895.297
84.5891,805.299,892.583
85.0394,804.448,887.718
85.4898,803.315,884.682
85.9403,802.564,886.347
86.391,800.585,887.189
86.8419,799.704,888.071
87.293,797.933,886.399
87.7443,796.784,882.375
88.1957,794.759,881.642
88.6474,794.518,880.269
89.0992,793.629,879.783
89.5513,791.5,876.262
90.0036,789.568,874.373
90.4561,787.935,873.39
90.9088,786.04,874.643
91.3618,785.319,872.496
91.8149,784.483,868.784
92.2684,783.096,869.615
92.7221,781.69,871.006
93.176,780.117,870.827
93.6302,779.223,871.152
94.0846,778.151,866.019
94.5394,777.093,863.636
94.9944,775.056,861.709
95.4497,774.055,859.59
95.9053,771.766,857.394
96.3611,770.012,856.256
96.8173,768.767,855.61
97.2738,767.884,852.2
97.7305,766.469,846.474
98.1876,765.646,843.543
98.6451,764.512,845.865
99.1028,763.356,847.141
99.5609,761.547,846.121
100.019,760.117,843.984
100.478,759.177,842.371
100.937,757.818,840.751
101.397,757.345,839.845
101.857,755.392,838.403
102.317,753.604,836.642
102.777,751.547,836.197
103.238,750.918,835.303
103.7,749.898,834.567
104.161,748.356,835.15
104.623,746.704,833.685
105.086,745.753,833.615
105.549,743.95,830.485
106.012,742.533,826.675
106.476,742.141,823.019
106.94,740.578,823.752
107.405,739.786,822.484
107.87,738.537,821.512
108.335,736.848,820.316
108.801,735.548,820.034
109.268,734.381,818.02
109.735,733.393,815.748
110.202,732.364,813.347
110.67,730.574,813.192
111.138,728.661,812.171
111.607,727.931,810.047
112.076,726.798,812.132
112.546,725.728,810.826
113.016,724.787,808.309
113.487,723.53,805.55
113.958,721.761,807.551
114.43,720.189,808.387
114.902,718.383,809.04
115.375,717.027,808.813
115.848,715.455,807.347
116.322,715.339,805.498
116.796,714.216,804.77
117.271,713.471,802.629
117.747,711.596,802.199
118.223,710.751,799.593
118.7,710.065,798.813
119.177,708.891,796.595
119.655,708.129,795.059
120.133,706.531,794.749
120.612,705.007,793.476
121.092,703.194,792.01
121.572,702.109,788.302
122.053,701.003,787.116
122.534,699.722,788.887
123.016,698.628,787.761
123.499,697.337,786.301
123.982,697.442,785.464
124.466,697.477,783.731
124.95,696.766,783.765
125.435,696.139,782.835
125.921,695.231,783.315
126.408,694.158,782.956
126.895,692.747,784.869
127.383,690.963,788.113
127.871,690.642,787.753
128.36,689.49,786.157
128.85,689.273,779.158
129.34,687.875,772.443
129.832,686.263,771.088
130.324,686.045,769.454
130.816,685.979,767.223
131.309,686.18,767.68
131.803,685.701,767.386
132.298,683.269,769.799
132.794,683.087,769.536
133.29,682.523,771.018
133.787,680.585,768.04
134.285,678.792,765.168
134.783,676.93,765.722
135.282,676.11,766.572
135.782,677.263,765.734
136.283,679.594,762.007
136.784,679.572,757.986
137.286,675.451,759.591
137.789,672.79,758.992
138.293,672.194,761.202
138.798,672.076,761.115
139.303,671.829,760.031
139.809,670.597,760.028
140.316,667.528,759.862
140.824,665.673,758.857
141.333,669.751,748.333
141.842,672.574,743.738
142.352,669.07,749.217
142.863,666.501,752.235
143.375,667.163,751.123
143.888,666.07,753.306
144.401,665.957,745.379
144.916,666.121,744.554
145.431,664.51,740.508
145.947,662.831,739.295
146.464,660.131,744.702
146.982,658.088,741.962
147.5,661.738,740.957
148.02,662.89,743.977
148.54,662.926,749.131
149.061,662.254,748.469
149.584,662.488,744.641
150.107,662.587,747.603
150.631,662.383,747.655
151.155,659.698,749.24
151.681,658.375,746.053
152.208,656.742,746.319
152.735,659.142,744.637
153.264,659.758,740.619
153.793,659.363,722.325
154.323,659.088,715.499
154.855,657.895,724.935
155.387,656.415,720.886
155.92,656.694,720.081
156.454,658.316,716.742
156.989,659.001,718.798
157.524,658.671,721.289
158.061,660.739,726.368
158.599,660.501,728.122
159.138,658.727,720.723
159.677,657.884,719.367
160.218,659.994,724.332
160.76,661.227,723.062
161.302,662.173,720.031
161.846,660.777,729.262
162.39,660.826,735.437
162.935,660.915,738.488
163.482,661.75,736.567
164.029,661.798,731.385
164.577,663.312,731.96
165.127,663.489,731.171
165.677,663.344,742.948
166.228,663.247,738.041
166.781,662.937,739.99
167.334,660.975,735.017
167.888,662.301,738.604
168.443,665.776,738.971
169.0,665.327,743.28
169.557,665.221,740.668
170.115,666.388,740.24
170.674,664.952,750.5
171.234,666.142,743.325
171.796,667.24,749.394
172.358,666.893,749.997
172.921,667.722,749.72
173.485,668.846,743.221
174.05,669.686,745.04
174.617,670.779,740.326
175.184,670.628,753.664
175.752,670.625,756.33
176.321,669.683,752.533
176.892,670.629,756.652
177.463,671.524,761.592
178.035,672.087,753.228
178.608,673.182,754.289
179.183,674.14,758.282
179.758,675.081,759.749
