L_S,vl1,vl2
360.0,0.0,0.0
0.514709,946.819,1026.47
1.02858,949.047,1030.32
1.54161,946.547,1035.15
2.05381,944.267,1036.0
2.56517,943.198,1035.78
3.07571,939.286,1023.1
3.58543,934.74,1013.58
4.09433,933.522,1033.6
4.60242,932.017,1058.45
5.1097,937.661,1043.46
5.61618,932.649,1055.23
6.12186,937.05,1052.42
6.62675,939.539,1050.7
7.13085,941.614,1052.5
7.63416,941.545,1061.27
8.1367,939.761,1060.53
8.63847,941.529,1042.71
9.13947,948.315,1051.23
9.63971,944.044,1038.0
10.1392,943.325,1050.09
10.6379,950.761,1072.2
11.1359,944.495,1059.91
11.6331,942.428,1049.9
12.1296,950.484,1062.45
12.6254,943.057,1051.42
13.1204,941.995,1033.09
13.6148,948.359,1057.76
14.1084,948.095,1064.21
14.6013,942.059,1060.37
15.0934,945.323,1061.57
15.5849,950.118,1071.25
16.0757,941.605,1051.52
16.5658,943.943,1043.77
17.0552,953.223,1060.94
17.544,945.781,1063.26
18.032,941.469,1047.98
18.5194,945.976,1051.97
19.0062,942.14,1069.4
19.4923,940.514,1056.53
19.9777,944.576,1045.52
20.4625,947.328,1047.06
20.9466,944.187,1050.45
21.4301,942.029,1048.75
21.913,944.146,1044.96
22.3952,942.767,1049.67
22.8769,941.736,1047.99
23.3579,943.151,1040.01
23.8383,943.562,1048.58
24.3181,941.174,1043.42
24.7973,940.919,1044.19
25.276,939.856,1041.36
25.754,939.507,1053.2
26.2315,938.883,1054.37
26.7083,939.029,1052.62
27.1847,939.126,1053.19
27.6604,939.103,1054.3
28.1356,936.652,1048.26
28.6103,933.614,1032.65
29.0843,933.44,1023.74
29.5579,931.118,1027.07
30.0309,930.255,1023.92
30.5034,930.662,1026.06
30.9754,928.212,1023.16
31.4468,928.178,1025.16
31.9178,928.529,1023.68
32.3882,928.644,1034.0
32.8582,927.395,1039.05
33.3276,927.211,1046.24
33.7965,928.011,1045.21
34.265,927.9,1046.82
34.733,928.686,1045.8
35.2005,926.761,1045.82
35.6676,925.733,1047.2
36.1341,923.791,1045.4
36.6003,923.86,1040.44
37.066,922.907,1026.97
37.5312,922.789,1020.47
37.996,922.793,1021.86
38.4604,921.549,1025.33
38.9243,919.7,1032.57
39.3878,919.558,1030.71
39.8509,919.037,1026.41
40.3136,917.088,1026.23
40.7759,916.551,1024.4
41.2378,916.296,1021.92
41.6993,914.994,1018.9
42.1604,914.341,1010.43
42.6211,911.972,1007.72
43.0815,913.307,1012.17
43.5415,912.304,1018.06
44.0011,910.761,1018.79
44.4604,909.185,1014.32
44.9193,907.953,1008.46
45.3778,909.158,1004.72
45.8361,906.495,1004.13
46.2939,904.807,1008.15
46.7515,904.191,1009.14
47.2087,902.702,1005.17
47.6656,900.446,1001.66
48.1222,899.941,1000.13
48.5785,900.196,997.824
49.0345,898.126,996.888
49.4902,897.526,998.935
49.9456,895.613,1001.17
50.4007,895.945,997.909
50.8556,894.381,991.605
51.3102,892.037,988.84
51.7645,890.109,991.442
52.2185,889.831,993.87
52.6723,889.931,993.906
53.1258,888.602,992.528
53.5791,887.531,987.987
54.0322,885.242,985.958
54.485,884.931,987.921
54.9376,884.234,988.0
55.3899,883.641,987.339
55.8421,880.717,974.427
56.294,879.831,977.455
56.7458,878.295,986.205
57.1973,877.866,988.313
57.6486,876.476,983.272
58.0998,874.89,979.247
58.5508,873.786,975.422
59.0016,872.895,974.399
59.4522,871.501,974.33
59.9026,870.758,973.067
60.3529,871.93,970.8
60.8031,870.026,970.145
61.2531,869.713,974.761
61.7029,866.81,974.431
62.1527,865.989,972.673
62.6023,863.638,972.212
63.0517,862.877,973.792
63.5011,861.143,972.456
63.9503,861.019,968.368
64.3994,859.033,964.844
64.8484,859.573,959.673
65.2973,858.776,957.575
65.7462,857.116,959.02
66.1949,856.498,960.593
66.6436,855.541,958.669
67.0922,853.202,955.776
67.5407,851.774,947.315
67.9891,851.702,941.551
68.4375,851.93,941.39
68.8859,850.796,942.387
69.3342,848.01,942.665
69.7824,847.419,943.788
70.2307,846.609,942.286
70.6789,846.452,941.055
71.127,844.111,937.662
71.5752,843.357,937.373
72.0233,841.712,935.122
72.4715,841.17,934.073
72.9196,840.029,931.769
73.3677,839.22,935.599
73.8159,837.742,934.54
74.264,837.354,930.821
74.7122,835.579,930.234
75.1604,834.61,927.133
75.6087,833.148,925.72
76.0569,831.497,924.536
76.5053,830.247,923.924
76.9537,829.106,924.13
77.4021,827.802,923.595
77.8506,825.951,922.263
78.2991,825.215,918.183
78.7478,823.101,915.94
79.1965,821.889,914.773
79.6453,820.272,912.157
80.0941,819.984,908.939
80.5431,818.52,905.558
80.9922,817.462,904.258
81.4414,815.036,902.627
81.8907,813.826,902.054
82.3401,812.417,901.892
82.7896,811.23,899.063
83.2393,809.376,892.736
83.6891,808.686,892.837
84.139,807.459,895.264
84.5891,806.582,893.398
85.0394,805.239,892.699
85.4898,804.453,891.816
85.9403,803.284,889.667
86.391,801.906,888.198
86.8419,801.225,884.992
87.293,799.312,882.982
87.7443,798.368,882.009
88.1957,796.668,882.576
88.6474,795.512,883.286
89.0992,793.081,881.702
89.5513,791.788,877.922
90.0036,790.061,873.828
90.4561,789.037,869.018
90.9088,788.099,866.829
91.3618,787.2,866.705
91.8149,785.785,869.631
92.2684,784.63,869.352
92.7221,782.744,869.377
93.176,781.326,866.044
93.6302,779.897,864.565
94.0846,778.622,860.962
94.5394,778.218,858.953
94.9944,776.536,857.714
95.4497,774.645,857.406
95.9053,772.763,857.449
96.3611,771.568,859.21
96.8173,769.698,856.705
97.2738,769.168,856.224
97.7305,767.839,855.386
98.1876,767.249,855.337
98.6451,765.376,855.549
99.1028,764.182,855.848
99.5609,763.382,852.875
100.019,762.184,847.886
100.478,761.006,843.49
100.937,759.176,842.628
101.397,758.132,840.472
101.857,756.392,839.952
102.317,754.879,839.369
102.777,752.918,837.917
103.238,751.822,836.31
103.7,750.034,833.233
104.161,749.091,833.653
104.623,747.886,830.978
105.086,747.079,830.407
105.549,745.865,829.742
106.012,744.949,828.632
106.476,743.383,828.488
106.94,741.909,829.313
107.405,740.983,826.759
107.87,739.216,825.209
108.335,737.567,822.355
108.801,736.218,821.381
109.268,735.784,821.982
109.735,735.017,819.004
110.202,733.402,814.084
110.67,731.869,812.458
111.138,730.755,813.503
111.607,729.333,815.41
112.076,728.211,815.267
112.546,727.007,815.738
113.016,725.588,814.146
113.487,723.743,811.761
113.958,722.614,809.696
114.43,722.508,806.883
114.902,721.428,805.565
115.375,720.289,806.42
115.848,719.118,807.435
116.322,717.656,807.021
116.796,716.213,806.721
117.271,714.96,808.18
117.747,713.899,806.3
118.223,712.498,802.538
118.7,711.478,801.227
119.177,710.503,800.047
119.655,709.248,799.861
120.133,708.658,799.98
120.612,707.735,801.837
121.092,706.137,802.543
121.572,704.871,798.917
122.053,703.569,794.1
122.534,703.007,790.904
123.016,702.859,785.996
123.499,702.25,781.382
123.982,701.584,782.936
124.466,700.063,785.045
124.95,698.775,788.967
125.435,698.905,789.55
125.921,697.451,790.479
126.408,697.831,788.74
126.895,696.5,784.326
127.383,695.707,779.337
127.871,694.94,777.015
128.36,693.385,779.168
128.85,693.334,780.571
129.34,691.971,779.14
129.832,691.141,777.587
130.324,690.624,775.899
130.816,688.784,776.72
131.309,688.833,775.71
131.803,687.86,775.745
132.298,685.994,775.12
132.794,684.887,773.443
133.29,683.744,771.11
133.787,684.299,763.888
134.285,684.196,765.334
134.783,682.95,770.508
135.282,682.411,768.105
135.782,680.091,764.874
136.283,678.099,762.754
136.784,677.974,766.294
137.286,678.105,765.611
137.789,678.403,766.572
138.293,677.797,764.657
138.798,678.497,760.648
139.303,678.924,763.147
139.809,677.875,762.173
140.316,677.51,760.722
140.824,675.085,759.338
141.333,674.516,756.724
141.842,673.556,762.26
142.352,671.722,762.32
142.863,668.686,762.199
143.375,667.235,765.659
143.888,669.765,760.605
144.401,670.109,760.045
144.916,668.298,759.814
145.431,668.569,760.071
145.947,670.067,758.297
146.464,671.243,753.893
146.982,673.303,746.223
147.5,672.724,744.416
148.02,670.968,746.301
148.54,670.178,747.349
149.061,668.654,749.227
149.584,665.257,747.251
150.107,664.013,746.843
150.631,666.765,749.346
151.155,668.395,753.87
151.681,666.01,748.769
152.208,664.297,739.417
152.735,665.034,740.974
153.264,668.622,744.132
153.793,668.332,743.818
154.323,669.253,752.055
154.855,669.431,762.799
155.387,669.229,764.199
155.92,669.167,745.66
156.454,668.565,743.517
156.989,670.316,736.707
157.524,671.959,732.866
158.061,672.273,737.237
158.599,671.403,740.202
159.138,670.954,735.91
159.677,672.061,729.603
160.218,673.255,728.296
160.76,673.927,734.008
161.302,674.596,744.42
161.846,673.274,751.327
162.39,673.739,755.453
162.935,674.009,752.042
163.482,674.918,748.743
164.029,677.4,746.632
164.577,678.434,747.272
165.127,676.999,750.503
165.677,678.825,763.757
166.228,679.723,767.914
166.781,679.569,760.268
167.334,679.892,760.976
167.888,680.49,754.221
168.443,682.675,756.046
169.0,682.834,761.361
169.557,682.049,759.017
170.115,685.86,755.097
170.674,684.578,770.293
171.234,685.558,771.727
171.796,687.991,767.575
172.358,687.5,761.302
172.921,689.086,769.066
173.485,691.343,767.13
174.05,691.403,781.216
174.617,693.779,774.874
175.184,694.704,775.03
175.752,695.621,780.554
176.321,695.004,777.628
176.892,696.974,773.495
177.463,699.522,779.271
178.035,700.475,788.121
178.608,699.555,784.553
179.183,702.016,785.228
179.758,701.377,791.086
