L_S,vl1,vl2
360.0,0.0,0.0
0.514709,946.819,1026.47
1.02858,949.047,1030.32
1.54161,946.547,1035.15
2.05381,944.267,1036.0
2.56517,943.198,1035.78
3.07571,939.286,1023.1
3.58543,934.74,1013.58
4.09433,933.522,1033.6
4.60242,932.017,1058.45
5.1097,937.661,1043.46
5.61618,932.649,1055.23
6.12186,937.05,1052.42
6.62675,939.539,1050.7
7.13085,941.614,1052.5
7.63416,941.545,1061.27
8.1367,939.761,1060.53
8.63847,941.529,1042.71
9.13947,948.315,1051.23
9.63971,944.044,1038.0
10.1392,943.325,1050.09
10.6379,950.761,1072.2
11.1359,944.495,1059.91
11.6331,942.428,1049.9
12.1296,950.484,1062.45
12.6254,943.057,1051.42
13.1204,941.995,1033.09
13.6148,948.359,1057.76
14.1084,948.095,1064.21
14.6013,942.059,1060.37
15.0934,945.323,1061.57
15.5849,950.118,1071.25
16.0757,941.605,1051.52
16.5658,943.942,1043.77
17.0552,953.222,1060.94
17.544,945.779,1063.25
18.032,941.464,1047.97
18.5194,945.971,1051.97
19.0062,942.132,1069.4
19.4923,940.501,1056.52
19.9777,944.553,1045.5
20.4625,947.306,1047.05
20.9466,944.15,1050.42
21.4301,941.996,1048.7
21.913,944.11,1044.87
22.3952,942.712,1049.62
22.8769,941.649,1047.85
23.3579,943.068,1039.84
23.8383,943.456,1048.5
24.3181,941.052,1043.3
24.7973,940.833,1044.25
25.276,939.793,1041.47
25.754,939.411,1053.16
26.2315,938.749,1053.99
26.7083,938.949,1052.01
27.1847,938.833,1052.25
27.6604,938.869,1053.2
28.1356,936.362,1045.71
28.6103,933.175,1028.9
29.0843,933.492,1024.33
29.5579,930.582,1027.14
30.0309,930.305,1028.64
30.5034,930.516,1025.53
30.9754,928.636,1031.18
31.4468,928.528,1027.97
31.9178,928.798,1028.11
32.3882,928.399,1039.88
32.8582,927.313,1041.42
33.3276,927.037,1042.14
33.7965,928.047,1039.8
34.265,927.154,1039.55
34.733,926.749,1039.53
35.2005,925.351,1040.19
35.6676,924.418,1044.8
36.1341,924.156,1037.16
36.6003,922.578,1034.5
37.066,922.374,1026.06
37.5312,921.487,1019.78
37.996,922.263,1022.75
38.4604,920.969,1025.16
38.9243,918.929,1023.61
39.3878,918.635,1020.35
39.8509,918.244,1022.63
40.3136,917.771,1025.33
40.7759,916.36,1024.85
41.2378,914.687,1023.23
41.6993,913.613,1019.05
42.1604,913.275,1019.98
42.6211,912.214,1019.27
43.0815,911.105,1014.01
43.5415,910.18,1008.12
44.0011,908.989,1006.33
44.4604,909.258,1009.34
44.9193,907.514,1010.36
45.3778,905.215,1008.16
45.8361,904.872,1006.21
46.2939,903.061,1002.73
46.7515,902.927,998.597
47.2087,900.986,999.66
47.6656,899.573,1000.03
48.1222,898.281,998.921
48.5785,896.753,998.252
49.0345,897.218,994.969
49.4902,894.679,994.069
49.9456,893.173,994.894
50.4007,891.746,993.367
50.8556,891.693,991.028
51.3102,890.119,987.228
51.7645,887.611,985.959
52.2185,886.976,986.947
52.6723,885.843,991.164
53.1258,885.948,989.337
53.5791,885.417,985.726
54.0322,883.551,984.144
54.485,881.297,983.601
54.9376,882.016,983.197
55.3899,881.577,973.685
55.8421,878.24,977.472
56.294,876.105,983.604
56.7458,875.339,985.025
57.1973,874.083,978.733
57.6486,871.943,972.494
58.0998,871.218,974.456
58.5508,869.71,977.901
59.0016,869.316,974.795
59.4522,868.697,970.016
59.9026,867.673,973.295
60.3529,866.227,971.05
60.8031,865.001,973.407
61.2531,863.819,972.294
61.7029,863.315,969.099
62.1527,861.442,967.326
62.6023,860.464,966.233
63.0517,859.434,958.525
63.5011,858.644,955.196
63.9503,858.042,953.974
64.3994,855.881,952.287
64.8484,856.041,951.423
65.2973,855.311,949.231
65.7462,853.404,948.694
66.1949,851.071,949.849
66.6436,850.202,951.594
67.0922,847.765,949.082
67.5407,847.695,945.237
67.9891,845.222,944.717
68.4375,844.277,946.251
68.8859,843.152,943.145
69.3342,841.952,937.638
69.7824,840.466,934.777
70.2307,840.812,932.912
70.6789,840.02,931.565
71.127,838.16,931.357
71.5752,837.272,931.08
72.0233,835.325,929.979
72.4715,834.887,926.56
72.9196,833.873,924.821
73.3677,832.993,922.067
73.8159,830.921,919.67
74.264,830.275,915.889
74.7122,827.781,914.556
75.1604,826.851,915.409
75.6087,824.521,912.261
76.0569,824.097,908.259
76.5053,822.395,907.069
76.9537,820.958,905.725
77.4021,819.256,903.251
77.8506,818.506,903.712
78.2991,816.34,906.694
78.7478,814.096,907.887
79.1965,813.652,904.967
79.6453,812.24,902.474
80.0941,811.685,898.78
80.5431,810.12,897.306
80.9922,809.398,895.061
81.4414,807.285,895.444
81.8907,806.635,894.369
82.3401,804.912,892.206
82.7896,803.448,889.385
83.2393,801.503,887.931
83.6891,800.534,886.597
84.139,799.474,886.604
84.5891,797.41,885.481
85.0394,795.532,884.039
85.4898,794.435,881.525
85.9403,793.075,877.403
86.391,791.037,877.911
86.8419,790.02,877.564
87.293,788.174,877.09
87.7443,787.089,877.702
88.1957,784.41,877.043
88.6474,783.405,876.741
89.0992,781.956,873.967
89.5513,781.635,869.978
90.0036,778.566,871.431
90.4561,777.105,868.828
90.9088,776.181,866.632
91.3618,775.441,863.769
91.8149,773.925,861.785
92.2684,771.731,861.144
92.7221,770.554,859.364
93.176,768.935,856.834
93.6302,767.614,853.322
94.0846,765.702,849.432
94.5394,764.326,846.408
94.9944,762.681,847.124
95.4497,761.611,845.617
95.9053,759.928,843.377
96.3611,758.606,841.818
96.8173,756.606,840.288
97.2738,755.87,838.004
97.7305,754.661,837.355
98.1876,752.816,836.53
98.6451,751.235,835.58
99.1028,749.657,835.788
99.5609,748.037,833.372
100.019,746.616,831.285
100.478,745.995,829.237
100.937,744.27,827.708
101.397,743.007,825.945
101.857,740.987,825.253
102.317,740.098,824.538
102.777,738.659,823.762
103.238,737.151,820.915
103.7,735.621,818.828
104.161,734.18,817.471
104.623,732.44,815.883
105.086,730.388,814.156
105.549,729.403,811.099
106.012,728.326,807.646
106.476,727.441,805.724
106.94,725.339,807.323
107.405,724.187,808.297
107.87,722.567,806.889
108.335,721.295,806.561
108.801,720.492,803.231
109.268,719.288,801.321
109.735,717.792,800.516
110.202,716.098,800.463
110.67,714.401,799.279
111.138,712.735,796.57
111.607,711.775,795.294
112.076,710.822,793.946
112.546,709.329,792.818
113.016,707.862,790.72
113.487,706.136,787.594
113.958,704.964,786.615
114.43,703.978,783.31
114.902,702.938,780.836
115.375,701.289,777.367
115.848,699.553,778.639
116.322,698.535,780.676
116.796,697.005,782.54
117.271,695.617,782.641
117.747,694.293,780.205
118.223,693.314,778.965
118.7,692.349,777.188
119.177,690.911,777.385
119.655,689.315,777.299
120.133,687.763,776.952
120.612,686.882,774.995
121.092,686.119,774.206
121.572,684.365,772.799
122.053,683.148,770.411
122.534,683.04,770.286
123.016,681.145,770.112
123.499,680.142,768.485
123.982,679.178,766.841
124.466,678.623,763.788
124.95,677.388,760.019
125.435,675.48,759.193
125.921,675.653,757.414
126.408,674.344,759.442
126.895,674.257,761.433
127.383,674.146,760.031
127.871,672.957,759.52
128.36,671.651,755.792
128.85,669.472,755.642
129.34,668.061,756.44
129.832,666.928,754.372
130.324,665.557,751.546
130.816,664.933,748.253
131.309,663.944,747.795
131.803,663.105,748.102
132.298,661.927,744.524
132.794,661.509,743.053
133.29,662.192,744.283
133.787,660.879,746.241
134.285,660.273,743.525
134.783,659.039,742.087
135.282,658.181,740.877
135.782,658.241,736.931
136.283,657.136,737.97
136.784,655.633,736.705
137.286,652.643,736.527
137.789,650.349,736.433
138.293,651.364,736.717
138.798,650.015,736.384
139.303,648.797,734.623
139.809,647.833,734.343
140.316,646.854,733.25
140.824,646.234,733.623
141.333,646.93,729.401
141.842,646.593,728.28
142.352,645.799,730.51
142.863,643.514,730.205
143.375,642.828,726.351
143.888,644.508,728.106
144.401,645.954,730.844
144.916,646.481,731.686
145.431,645.612,731.077
145.947,643.68,733.48
146.464,643.226,737.99
146.982,642.612,732.274
147.5,641.303,726.059
148.02,637.997,724.735
148.54,637.058,720.607
149.061,639.25,725.009
149.584,642.092,721.517
150.107,641.499,721.736
150.631,642.184,716.81
151.155,642.648,710.114
151.681,641.348,708.038
152.208,639.311,714.79
152.735,638.233,718.894
153.264,638.047,722.732
153.793,639.346,726.296
154.323,640.488,723.366
154.855,640.41,716.284
155.387,639.188,713.051
155.92,639.376,711.278
156.454,640.688,704.243
156.989,641.794,703.901
157.524,641.681,700.842
158.061,641.876,697.327
158.599,640.769,701.499
159.138,640.371,714.328
159.677,639.662,716.754
160.218,639.937,710.135
160.76,640.28,709.893
161.302,641.508,711.298
161.846,641.115,712.528
162.39,641.212,711.903
162.935,641.057,712.624
163.482,641.628,714.912
164.029,640.943,715.219
164.577,641.394,717.462
165.127,641.959,715.977
165.677,642.369,717.985
166.228,643.433,718.226
166.781,644.356,723.124
167.334,644.68,716.262
167.888,645.558,724.562
168.443,646.195,726.234
169.0,645.791,718.99
169.557,647.765,722.088
170.115,648.095,725.234
170.674,647.485,726.642
171.234,650.065,718.285
171.796,650.407,729.033
172.358,650.431,727.256
172.921,650.86,733.783
173.485,651.629,731.919
174.05,651.829,731.109
174.617,654.581,729.432
175.184,654.407,726.725
175.752,655.512,729.39
176.321,656.466,737.479
176.892,655.954,739.113
177.463,656.783,737.193
178.035,657.662,745.257
178.608,658.837,740.234
179.183,660.86,735.369
179.758,662.712,744.78
180.334,664.639,744.731
