#co2, sha, she, nha, nhe
#2.85e16, 0.461, 0.785, 0.795, 0.485
L_S,vl1,vl2
115.848,0.0,0.0
118.223,903.555,989.297
120.612,894.179,998.9
123.016,895.09,1009.38
125.435,890.65,990.198
127.871,888.039,987.072
130.324,881.893,982.915
132.794,879.01,983.393
135.282,877.464,967.392
137.789,875.519,965.895
140.316,871.418,972.206
142.863,866.978,974.93
145.431,865.123,969.621
148.02,864.073,967.982
150.631,861.864,960.236
153.264,858.894,956.756
155.92,858.232,957.192
158.599,856.479,957.408
161.302,854.191,956.768
164.029,855.779,947.177
166.781,858.209,950.384
169.557,859.471,954.856
172.358,857.691,949.653
175.184,855.885,954.633
178.035,861.687,965.594
180.911,864.581,953.88
183.813,857.158,979.069
186.739,858.248,980.177
189.69,866.009,988.848
192.666,874.837,986.47
195.665,874.458,989.75
198.688,880.128,970.452
201.735,885.443,990.698
204.803,890.542,1006.23
207.893,890.237,1005.86
211.003,902.416,994.655
214.134,912.406,983.854
217.283,911.664,991.041
220.449,915.335,1006.78
223.632,904.719,1017.61
226.829,926.996,1000.93
230.04,907.192,1013.64
233.262,928.052,1027.81
236.495,902.249,991.023
239.737,928.172,1042.76
242.985,902.421,1012.5
246.239,912.56,1021.49
249.497,892.654,970.219
252.756,904.798,910.943
256.015,901.823,985.887
259.272,905.298,994.689
262.525,891.301,972.411
265.773,875.89,991.982
269.014,864.491,953.623
272.245,863.005,946.174
275.467,864.365,955.051
278.676,846.466,923.731
281.872,866.384,937.849
285.052,854.091,893.893
288.217,854.028,896.655
291.363,853.459,911.968
294.491,851.006,922.816
297.6,841.127,932.615
300.687,835.013,921.959
303.753,820.8,909.898
306.796,821.485,879.889
309.817,799.09,926.061
312.813,823.774,871.165
315.786,796.703,895.878
318.734,822.759,904.747
321.658,791.015,881.81
324.556,792.665,891.477
327.43,800.743,872.037
330.278,794.208,874.599
333.101,802.131,850.744
335.899,788.66,841.618
338.672,786.471,863.856
341.421,792.708,870.685
344.145,786.87,848.578
346.845,784.123,841.505
349.522,782.345,843.925
352.175,775.358,861.291
354.805,779.976,870.749
357.414,778.69,872.545
360.0,776.668,862.331
2.56517,779.542,876.934
5.1097,779.18,882.019
7.63416,785.052,887.623
10.1392,787.063,893.029
12.6254,783.218,907.35
15.0934,783.382,893.744
17.544,787.507,900.113
19.9777,785.808,894.622
22.3952,791.847,900.085
24.7973,793.503,902.277
27.1847,794.763,893.247
29.5579,795.02,883.682
31.9178,801.512,912.226
34.265,792.118,911.785
36.6003,795.088,896.871
38.9243,794.222,882.408
41.2378,795.403,886.591
43.5415,802.922,916.236
45.8361,798.971,903.009
48.1222,792.489,887.364
50.4007,795.403,887.421
52.6723,798.615,894.293
54.9376,795.761,892.039
57.1973,793.173,887.188
59.4522,792.792,890.115
61.7029,787.234,888.635
63.9503,784.529,889.502
66.1949,784.621,885.541
68.4375,785.545,881.061
70.6789,783.355,887.23
72.9196,780.835,883.35
75.1604,780.533,877.289
77.4021,776.407,869.938
79.6453,772.531,871.38
81.8907,768.82,868.838
84.139,764.239,866.163
86.391,762.403,855.094
88.6474,758.23,852.045
90.9088,753.385,845.261
93.176,750.232,836.786
95.4497,744.233,831.259
97.7305,741.922,826.639
100.019,736.872,827.254
102.317,731.17,820.973
104.623,725.544,814.785
106.94,719.148,806.343
109.268,713.138,804.027
111.607,707.627,789.702
113.958,701.546,786.57
116.322,696.929,781.152
118.7,692.725,778.449
121.092,687.497,770.732
123.499,683.18,770.24
125.921,679.245,764.186
128.36,672.654,760.809
130.816,671.077,756.736
133.29,663.123,760.733
135.782,663.164,741.142
138.293,657.327,743.946
140.824,655.924,741.544
143.375,653.68,736.839
145.947,649.989,734.387
148.54,651.325,728.471
151.155,647.466,720.064
153.793,646.558,721.999
156.454,645.672,709.435
159.138,647.517,731.454
161.846,650.932,713.418
164.577,652.278,728.385
167.334,658.957,732.19
170.115,661.594,729.988
172.921,667.245,747.153
175.752,673.521,749.417
178.608,680.149,759.668
181.49,683.074,762.511
184.396,686.861,773.027
187.327,690.792,788.365
190.283,699.451,770.248
193.264,713.915,808.443
196.268,718.07,788.901
199.296,728.188,807.705
202.346,748.484,804.581
205.419,759.311,850.938
208.513,769.747,856.322
211.628,773.976,844.871
214.762,784.646,857.463
217.915,799.525,881.102
