#co2, sha, she, nha, nhe
#2.895e16, 0.502, 0.716, 0.772, 0.476
L_S,vl1,vl2
62.1527,0.0,0.0
62.6023,926.725,1001.0
63.0517,927.183,1002.7
63.5011,925.005,1008.25
63.9503,922.53,1010.84
64.3994,922.451,1011.08
64.8484,922.517,1011.16
65.2973,921.607,1009.56
65.7462,918.497,1015.35
66.1949,915.556,1020.16
66.6436,913.672,1018.51
67.0922,913.585,1019.26
67.5407,914.052,1021.76
67.9891,913.733,1024.91
68.4375,914.009,1025.48
68.8859,913.162,1027.41
69.3342,911.076,1026.08
69.7824,910.555,1020.31
70.2307,911.02,1015.25
70.6789,909.498,1011.18
71.127,908.415,1007.47
71.5752,908.75,1006.21
72.0233,908.043,1008.97
72.4715,906.956,1011.72
72.9196,905.43,1011.87
73.3677,904.017,1009.81
73.8159,904.06,1002.24
74.264,902.459,994.801
74.7122,899.947,989.887
75.1604,898.247,988.781
75.6087,896.638,990.87
76.0569,895.859,993.112
76.5053,895.339,992.073
76.9537,894.242,995.74
77.4021,892.71,996.346
77.8506,890.792,992.294
78.2991,889.196,989.73
78.7478,887.115,984.626
79.1965,886.705,976.74
79.6453,885.321,977.983
80.0941,883.371,979.271
80.5431,882.92,982.059
80.9922,882.324,983.038
81.4414,881.195,978.746
81.8907,880.728,971.011
82.3401,878.479,970.621
82.7896,876.957,970.826
83.2393,877.048,971.796
83.6891,875.965,969.311
84.139,874.031,972.045
84.5891,873.446,968.644
85.0394,871.847,965.832
85.4898,869.883,961.197
85.9403,868.444,959.241
86.391,867.116,960.839
86.8419,864.778,962.699
87.293,864.291,960.614
87.7443,863.101,957.62
88.1957,861.629,956.747
88.6474,860.645,955.748
89.0992,859.94,956.887
89.5513,858.448,956.289
90.0036,857.122,949.849
90.4561,856.525,947.24
90.9088,854.869,946.879
91.3618,853.258,947.1
91.8149,852.396,944.108
92.2684,851.558,941.591
92.7221,850.56,937.841
93.176,849.282,937.155
93.6302,847.585,935.484
94.0846,845.901,933.266
94.5394,844.675,931.776
94.9944,843.659,934.401
95.4497,842.46,933.356
95.9053,841.565,931.385
96.3611,840.539,931.878
96.8173,838.831,928.353
97.2738,837.996,924.307
97.7305,836.388,924.09
98.1876,835.145,927.043
98.6451,833.917,925.629
99.1028,832.714,920.7
99.5609,831.179,916.355
100.019,830.142,917.201
100.478,828.66,917.369
100.937,827.157,917.053
101.397,825.599,915.014
101.857,824.571,912.472
102.317,824.562,913.066
102.777,822.66,913.308
103.238,821.028,911.265
103.7,820.125,909.774
104.161,819.188,908.725
104.623,817.285,910.598
105.086,816.32,909.377
105.549,814.263,909.042
106.012,813.751,907.941
106.476,814.109,903.984
106.94,812.258,899.067
107.405,811.069,896.816
107.87,809.994,897.693
108.335,808.448,899.089
108.801,807.413,897.695
109.268,806.07,896.615
109.735,804.608,893.748
110.202,803.473,894.576
110.67,802.94,892.955
111.138,801.404,888.383
111.607,799.354,886.004
112.076,798.311,884.327
112.546,797.551,881.424
113.016,796.598,877.88
113.487,795.935,882.502
113.958,794.721,886.792
114.43,792.976,887.52
114.902,792.112,886.668
115.375,790.366,886.816
115.848,788.205,882.348
116.322,787.837,879.152
116.796,787.574,877.271
117.271,786.785,877.744
117.747,785.364,878.647
118.223,783.897,878.554
118.7,783.227,877.31
119.177,782.416,875.996
119.655,781.73,875.378
120.133,780.067,874.733
120.612,778.807,875.35
121.092,778.2,873.639
121.572,776.932,873.079
122.053,775.918,872.774
122.534,775.125,871.22
123.016,774.294,865.337
123.499,773.406,860.515
123.982,772.479,860.37
124.466,771.806,859.491
124.95,770.477,858.831
125.435,771.024,858.797
125.921,770.906,860.617
126.408,768.846,860.366
126.895,767.797,859.209
127.383,767.013,862.194
127.871,766.667,862.316
128.36,765.587,860.407
128.85,764.368,857.632
129.34,764.26,854.851
129.832,763.101,855.923
130.324,761.988,854.273
130.816,761.679,853.228
131.309,760.477,854.635
131.803,760.381,852.207
132.298,760.595,850.41
132.794,759.925,848.452
133.29,759.191,852.561
133.787,756.254,854.176
134.285,754.977,852.62
134.783,754.961,852.122
135.282,755.071,846.291
135.782,756.15,836.594
136.283,753.327,840.235
136.784,750.918,845.12
137.286,751.786,845.109
137.789,750.571,844.15
138.293,748.47,840.257
138.798,749.163,839.798
139.303,745.57,837.417
139.809,744.89,840.596
140.316,745.005,847.603
140.824,746.079,841.246
141.333,746.698,836.575
141.842,745.88,836.833
142.352,745.372,844.151
142.863,744.845,848.748
143.375,746.359,855.351
143.888,747.082,859.425
144.401,745.254,857.243
144.916,742.756,852.159
145.431,741.091,841.995
145.947,740.266,829.879
146.464,739.628,829.923
146.982,740.861,826.015
147.5,737.993,816.423
148.02,735.495,817.951
148.54,737.114,815.322
149.061,742.591,818.051
149.584,743.133,826.875
150.107,740.627,831.139
150.631,740.909,827.374
151.155,738.121,822.591
151.681,735.492,824.557
152.208,737.682,829.065
152.735,740.617,822.106
153.264,737.726,820.615
153.793,738.001,828.174
154.323,741.326,832.253
154.855,742.258,832.283
155.387,741.62,830.281
155.92,741.871,828.157
156.454,742.276,821.815
156.989,743.291,817.034
157.524,742.556,814.739
158.061,741.837,820.852
158.599,742.617,814.831
159.138,742.883,808.776
159.677,741.049,805.316
160.218,741.016,813.817
160.76,742.221,803.831
161.302,743.096,812.075
161.846,741.858,822.136
162.39,742.595,827.305
162.935,744.234,833.271
163.482,745.597,829.897
164.029,744.738,828.92
164.577,746.428,822.218
165.127,747.952,827.358
165.677,747.239,820.181
166.228,749.237,838.133
166.781,747.79,832.82
167.334,749.057,838.947
167.888,749.484,844.427
168.443,751.371,835.037
169.0,752.632,831.568
169.557,753.007,830.881
170.115,753.274,834.581
170.674,752.608,839.482
171.234,754.973,845.074
171.796,756.674,849.89
172.358,755.512,847.02
172.921,758.096,850.14
173.485,760.906,842.716
174.05,762.09,848.104
174.617,763.56,850.428
175.184,763.897,856.104
175.752,761.18,846.478
176.321,764.843,865.108
176.892,763.008,860.395
177.463,761.874,860.339
178.035,764.792,859.095
178.608,765.11,862.346
179.183,765.74,855.109
179.758,767.767,867.882
180.334,767.887,863.003
180.911,765.691,875.689
181.49,766.145,881.732
182.069,767.234,868.023
182.649,769.342,854.615
183.23,768.783,867.96
183.813,774.602,882.243
184.396,776.11,863.851
184.98,775.585,887.916
185.566,773.374,878.855
186.152,772.645,872.918
186.739,778.256,860.035
187.327,785.475,868.924
187.917,779.513,878.961
188.507,785.305,883.699
189.098,785.713,881.276
189.69,785.341,887.751
190.283,788.585,862.028
190.877,785.366,905.178
191.473,789.013,891.828
192.069,791.442,893.649
192.666,791.171,882.825
193.264,798.817,887.958
193.863,794.143,864.519
194.463,795.478,884.923
195.063,799.028,893.907
195.665,803.479,879.244
196.268,809.318,896.362
196.872,805.024,877.442
197.476,814.632,895.82
198.082,819.882,862.065
198.688,813.207,892.289
199.296,823.249,856.501
